Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,104,Senorda,Metafora,False,5,epo,9. Synchyses
1,1,99,Metafora,Metafora,True,5,epo,4. Métaphoriquement
1,1,96,La bazo,La bazo,True,5,epo,1. Notations
1,1,116,Distingoj,Distingoj,True,5,epo,21. Distinguo
1,1,119,Eldonista konigo,Eldonista konigo,True,5,epo,24. Prière d'insérer
1,2,119,Eldonista konigo,Distingoj,False,5,epo,24. Prière d'insérer
1,2,99,Metafora,Metafora,True,5,epo,4. Métaphoriquement
1,2,116,Distingoj,Metafora,False,5,epo,21. Distinguo
1,2,96,La bazo,Metafora,False,5,epo,1. Notations
1,2,104,Senorda,Metafora,False,5,epo,9. Synchyses
1,3,119,Eldonista konigo,Distingoj,False,5,epo,24. Prière d'insérer
1,3,104,Senorda,Metafora,False,5,epo,9. Synchyses
1,3,99,Metafora,Metafora,True,5,epo,4. Métaphoriquement
1,3,96,La bazo,Metafora,False,5,epo,1. Notations
1,3,116,Distingoj,Metafora,False,5,epo,21. Distinguo
2,1,113,Negativecoj,Litota,False,5,epo,18. Négativités
2,1,117,Samkomenca,Negativecoj,False,5,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,114,Animisma,Litota,False,5,epo,19. Animiste
2,1,119,Eldonista konigo,Eldonista konigo,True,5,epo,24. Prière d'insérer
2,1,98,Litota,Litota,True,5,epo,3. Litotes
2,2,98,Litota,Litota,True,5,epo,3. Litotes
2,2,119,Eldonista konigo,Eldonista konigo,True,5,epo,24. Prière d'insérer
2,2,113,Negativecoj,Litota,False,5,epo,18. Négativités
2,2,117,Samkomenca,Litota,False,5,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,114,Animisma,Litota,False,5,epo,19. Animiste
2,3,119,Eldonista konigo,Eldonista konigo,True,5,epo,24. Prière d'insérer
2,3,98,Litota,Litota,True,5,epo,3. Litotes
2,3,117,Samkomenca,Litota,False,5,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,113,Negativecoj,Litota,False,5,epo,18. Négativités
2,3,114,Animisma,Litota,False,5,epo,19. Animiste
3,1,112,Vortkunmetoj,Vortkunmetoj,True,5,epo,17. Composition de mots
3,1,103,Antaŭdiroj,Antaŭdiroj,True,5,epo,8. Pronostications
3,1,96,La bazo,La bazo,True,5,epo,1. Notations
3,1,113,Negativecoj,Negativecoj,True,5,epo,18. Négativités
3,1,115,Anagrama,Vortkunmetoj,False,5,epo,20. Anagrammes
3,2,103,Antaŭdiroj,Antaŭdiroj,True,5,epo,8. Pronostications
3,2,112,Vortkunmetoj,Vortkunmetoj,True,5,epo,17. Composition de mots
3,2,115,Anagrama,Vortkunmetoj,False,5,epo,20. Anagrammes
3,2,113,Negativecoj,Negativecoj,True,5,epo,18. Négativités
3,2,96,La bazo,La bazo,True,5,epo,1. Notations
3,3,96,La bazo,La bazo,True,5,epo,1. Notations
3,3,103,Antaŭdiroj,Antaŭdiroj,True,5,epo,8. Pronostications
3,3,115,Anagrama,Vortkunmetoj,False,5,epo,20. Anagrammes
3,3,112,Vortkunmetoj,Vortkunmetoj,True,5,epo,17. Composition de mots
3,3,113,Negativecoj,Negativecoj,True,5,epo,18. Négativités
4,1,110,"Subjektiva, alie",Subjektiva,False,5,epo,15. Autre subjectivité
4,1,104,Senorda,Subjektiva,False,5,epo,9. Synchyses
4,1,103,Antaŭdiroj,Subjektiva,False,5,epo,8. Pronostications
4,1,114,Animisma,Subjektiva,False,5,epo,19. Animiste
4,1,109,Subjektiva,Subjektiva,True,5,epo,14. Le côté subjectif
4,2,103,Antaŭdiroj,Subjektiva,False,5,epo,8. Pronostications
4,2,114,Animisma,Subjektiva,False,5,epo,19. Animiste
4,2,109,Subjektiva,Subjektiva,True,5,epo,14. Le côté subjectif
4,2,104,Senorda,Subjektiva,False,5,epo,9. Synchyses
4,2,110,"Subjektiva, alie",Subjektiva,False,5,epo,15. Autre subjectivité
4,3,103,Antaŭdiroj,Subjektiva,False,5,epo,8. Pronostications
4,3,110,"Subjektiva, alie",Subjektiva,False,5,epo,15. Autre subjectivité
4,3,109,Subjektiva,Subjektiva,True,5,epo,14. Le côté subjectif
4,3,114,Animisma,Subjektiva,False,5,epo,19. Animiste
4,3,104,Senorda,Subjektiva,False,5,epo,9. Synchyses
5,1,106,Kunmeta ludo,Kunmeta ludo,True,5,epo,11. Logo-rallye
5,1,100,Retroa,Kunmeta ludo,False,5,epo,5. Rétrograde
5,1,104,Senorda,Kunmeta ludo,False,5,epo,9. Synchyses
5,1,102,Sonĝo,Sonĝo,True,5,epo,7. Rêve
5,1,99,Metafora,Metafora,True,5,epo,4. Métaphoriquement
5,2,99,Metafora,Metafora,True,5,epo,4. Métaphoriquement
5,2,104,Senorda,Metafora,False,5,epo,9. Synchyses
5,2,100,Retroa,Kunmeta ludo,False,5,epo,5. Rétrograde
5,2,102,Sonĝo,Sonĝo,True,5,epo,7. Rêve
5,2,106,Kunmeta ludo,Kunmeta ludo,True,5,epo,11. Logo-rallye
5,3,100,Retroa,Kunmeta ludo,False,5,epo,5. Rétrograde
5,3,102,Sonĝo,Sonĝo,True,5,epo,7. Rêve
5,3,99,Metafora,Metafora,True,5,epo,4. Métaphoriquement
5,3,106,Kunmeta ludo,Kunmeta ludo,True,5,epo,11. Logo-rallye
5,3,104,Senorda,Metafora,False,5,epo,9. Synchyses
6,1,104,Senorda,Senorda,True,5,epo,9. Synchyses
6,1,115,Anagrama,Anagrama,True,5,epo,20. Anagrammes
6,1,97,Pleonasma,Senorda,False,5,epo,2. En partie double
6,1,110,"Subjektiva, alie",Senorda,False,5,epo,15. Autre subjectivité
6,1,119,Eldonista konigo,Anagrama,False,5,epo,24. Prière d'insérer
6,2,119,Eldonista konigo,Senorda,False,5,epo,24. Prière d'insérer
6,2,97,Pleonasma,Senorda,False,5,epo,2. En partie double
6,2,110,"Subjektiva, alie",Eldonista konigo,False,5,epo,15. Autre subjectivité
6,2,115,Anagrama,Anagrama,True,5,epo,20. Anagrammes
6,2,104,Senorda,Senorda,True,5,epo,9. Synchyses
6,3,115,Anagrama,Anagrama,True,5,epo,20. Anagrammes
6,3,97,Pleonasma,Senorda,False,5,epo,2. En partie double
6,3,104,Senorda,Senorda,True,5,epo,9. Synchyses
6,3,110,"Subjektiva, alie",Senorda,False,5,epo,15. Autre subjectivité
6,3,119,Eldonista konigo,Senorda,False,5,epo,24. Prière d'insérer
7,1,114,Animisma,Distingoj,False,5,epo,19. Animiste
7,1,115,Anagrama,Anagrama,True,5,epo,20. Anagrammes
7,1,107,Hezitema,Distingoj,False,5,epo,12. Hésitations
7,1,116,Distingoj,Anagrama,False,5,epo,21. Distinguo
7,1,105,Ĉielarko,Distingoj,False,5,epo,10. L'arc-en-ciel
7,2,107,Hezitema,Distingoj,False,5,epo,12. Hésitations
7,2,115,Anagrama,Anagrama,True,5,epo,20. Anagrammes
7,2,116,Distingoj,Anagrama,False,5,epo,21. Distinguo
7,2,105,Ĉielarko,Distingoj,False,5,epo,10. L'arc-en-ciel
7,2,114,Animisma,Distingoj,False,5,epo,19. Animiste
7,3,116,Distingoj,Anagrama,False,5,epo,21. Distinguo
7,3,105,Ĉielarko,Distingoj,False,5,epo,10. L'arc-en-ciel
7,3,114,Animisma,Distingoj,False,5,epo,19. Animiste
7,3,115,Anagrama,Anagrama,True,5,epo,20. Anagrammes
7,3,107,Hezitema,Distingoj,False,5,epo,12. Hésitations
8,1,99,Metafora,Litota,False,5,epo,4. Métaphoriquement
8,1,105,Ĉielarko,Antaŭdiroj,False,5,epo,10. L'arc-en-ciel
8,1,103,Antaŭdiroj,Antaŭdiroj,True,5,epo,8. Pronostications
8,1,98,Litota,Litota,True,5,epo,3. Litotes
8,2,103,Antaŭdiroj,Antaŭdiroj,True,5,epo,8. Pronostications
8,2,99,Metafora,Litota,False,5,epo,4. Métaphoriquement
8,2,98,Litota,Litota,True,5,epo,3. Litotes
8,2,105,Ĉielarko,Antaŭdiroj,False,5,epo,10. L'arc-en-ciel
8,3,103,Antaŭdiroj,Antaŭdiroj,True,5,epo,8. Pronostications
8,3,99,Metafora,Litota,False,5,epo,4. Métaphoriquement
8,3,105,Ĉielarko,Antaŭdiroj,False,5,epo,10. L'arc-en-ciel
8,3,98,Litota,Litota,True,5,epo,3. Litotes
9,1,102,Sonĝo,Sonĝo,True,5,epo,7. Rêve
9,1,117,Samkomenca,Samkomenca,True,5,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
9,1,107,Hezitema,Sonĝo,False,5,epo,12. Hésitations
9,1,101,Surprizoj,Samkomenca,False,5,epo,6. Surprises
9,2,102,Sonĝo,Sonĝo,True,5,epo,7. Rêve
9,2,107,Hezitema,Sonĝo,False,5,epo,12. Hésitations
9,2,117,Samkomenca,Samkomenca,True,5,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
9,2,101,Surprizoj,Samkomenca,False,5,epo,6. Surprises
9,3,101,Surprizoj,Samkomenca,False,5,epo,6. Surprises
9,3,117,Samkomenca,Hezitema,False,5,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
9,3,102,Sonĝo,Sonĝo,True,5,epo,7. Rêve
9,3,107,Hezitema,Sonĝo,False,5,epo,12. Hésitations
10,1,116,Distingoj,Anagrama,False,5,epo,21. Distinguo
10,1,119,Eldonista konigo,Anagrama,False,5,epo,24. Prière d'insérer
10,1,115,Anagrama,Anagrama,True,5,epo,20. Anagrammes
10,1,101,Surprizoj,Distingoj,False,5,epo,6. Surprises
10,1,113,Negativecoj,Distingoj,False,5,epo,18. Négativités
10,2,119,Eldonista konigo,Anagrama,False,5,epo,24. Prière d'insérer
10,2,113,Negativecoj,Distingoj,False,5,epo,18. Négativités
10,2,116,Distingoj,Anagrama,False,5,epo,21. Distinguo
10,2,115,Anagrama,Anagrama,True,5,epo,20. Anagrammes
10,2,101,Surprizoj,Distingoj,False,5,epo,6. Surprises
10,3,113,Negativecoj,Distingoj,False,5,epo,18. Négativités
10,3,119,Eldonista konigo,Anagrama,False,5,epo,24. Prière d'insérer
10,3,101,Surprizoj,Distingoj,False,5,epo,6. Surprises
10,3,116,Distingoj,Anagrama,False,5,epo,21. Distinguo
10,3,115,Anagrama,Anagrama,True,5,epo,20. Anagrammes
11,1,116,Distingoj,Distingoj,True,5,epo,21. Distinguo
11,1,118,Oficiala letero,Distingoj,False,5,epo,23. Lettre officielle
11,1,117,Samkomenca,Distingoj,False,5,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
11,1,103,Antaŭdiroj,Distingoj,False,5,epo,8. Pronostications
11,1,113,Negativecoj,Distingoj,False,5,epo,18. Négativités
11,2,103,Antaŭdiroj,Distingoj,False,5,epo,8. Pronostications
11,2,117,Samkomenca,Distingoj,False,5,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
11,2,118,Oficiala letero,Distingoj,False,5,epo,23. Lettre officielle
11,2,116,Distingoj,Distingoj,True,5,epo,21. Distinguo
11,2,113,Negativecoj,Distingoj,False,5,epo,18. Négativités
11,3,117,Samkomenca,Distingoj,False,5,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
11,3,103,Antaŭdiroj,Distingoj,False,5,epo,8. Pronostications
11,3,116,Distingoj,Distingoj,True,5,epo,21. Distinguo
11,3,118,Oficiala letero,Oficiala letero,True,5,epo,23. Lettre officielle
11,3,113,Negativecoj,Distingoj,False,5,epo,18. Négativités
12,1,98,Litota,Senorda,False,5,epo,3. Litotes
12,1,102,Sonĝo,Sonĝo,True,5,epo,7. Rêve
12,1,114,Animisma,Litota,False,5,epo,19. Animiste
12,1,108,Precizigoj,Litota,False,5,epo,13. Précisions
12,1,104,Senorda,Litota,False,5,epo,9. Synchyses
12,2,98,Litota,Senorda,False,5,epo,3. Litotes
12,2,114,Animisma,Litota,False,5,epo,19. Animiste
12,2,108,Precizigoj,Litota,False,5,epo,13. Précisions
12,2,104,Senorda,Litota,False,5,epo,9. Synchyses
12,2,102,Sonĝo,Sonĝo,True,5,epo,7. Rêve
12,3,114,Animisma,Litota,False,5,epo,19. Animiste
12,3,104,Senorda,Litota,False,5,epo,9. Synchyses
12,3,108,Precizigoj,Litota,False,5,epo,13. Précisions
12,3,98,Litota,Senorda,False,5,epo,3. Litotes
12,3,102,Sonĝo,Sonĝo,True,5,epo,7. Rêve
13,1,110,"Subjektiva, alie",Distingoj,False,5,epo,15. Autre subjectivité
13,1,104,Senorda,"Subjektiva, alie",False,5,epo,9. Synchyses
13,1,116,Distingoj,Precizigoj,False,5,epo,21. Distinguo
13,1,100,Retroa,Distingoj,False,5,epo,5. Rétrograde
13,1,108,Precizigoj,Precizigoj,True,5,epo,13. Précisions
13,2,110,"Subjektiva, alie",Distingoj,False,5,epo,15. Autre subjectivité
13,2,116,Distingoj,Precizigoj,False,5,epo,21. Distinguo
13,2,100,Retroa,Distingoj,False,5,epo,5. Rétrograde
13,2,108,Precizigoj,Precizigoj,True,5,epo,13. Précisions
13,2,104,Senorda,"Subjektiva, alie",False,5,epo,9. Synchyses
