Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,23,Prière dinsérer,Prière d'insérer,False,4,fre,24. Prière d'insérer
1,1,3,Métaphoriquement,Métaphoriquement,True,4,fre,4. Métaphoriquement
1,1,20,Distinguo,Distinguo,True,4,fre,21. Distinguo
1,1,0,Notations,Notations,True,4,fre,1. Notations
1,2,0,Notations,Notations,True,4,fre,1. Notations
1,2,3,Métaphoriquement,Métaphoriquement,True,4,fre,4. Métaphoriquement
1,2,23,Prière dinsérer,Prière d'insérer,False,4,fre,24. Prière d'insérer
1,2,20,Distinguo,Distinguo,True,4,fre,21. Distinguo
1,3,23,Prière dinsérer,Prière d'insérer,False,4,fre,24. Prière d'insérer
1,3,3,Métaphoriquement,Métaphoriquement,True,4,fre,4. Métaphoriquement
1,3,20,Distinguo,Distinguo,True,4,fre,21. Distinguo
1,3,0,Notations,Notations,True,4,fre,1. Notations
2,1,17,Négativités,Litotes,False,4,fre,18. Négativités
2,1,2,Litotes,Litotes,True,4,fre,3. Litotes
2,1,21,Homéotéleutes,Homéotéleutes,True,4,fre,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,23,Prière dinsérer,Prière d'insérer,False,4,fre,24. Prière d'insérer
2,2,17,Négativités,Litotes,False,4,fre,18. Négativités
2,2,2,Litotes,Litotes,True,4,fre,3. Litotes
2,2,23,Prière dinsérer,Prière d'insérer,False,4,fre,24. Prière d'insérer
2,2,21,Homéotéleutes,Homéotéleutes,True,4,fre,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,23,Prière dinsérer,Prière d'insérer,False,4,fre,24. Prière d'insérer
2,3,2,Litotes,Litotes,True,4,fre,3. Litotes
2,3,17,Négativités,Litotes,False,4,fre,18. Négativités
2,3,21,Homéotéleutes,Homéotéleutes,True,4,fre,22. Homéoptotes (1947) / Homéotéleutes (1976)
3,1,19,Anagrammes,Composition de mots,False,4,fre,20. Anagrammes
3,1,16,Composition de mots,Composition de mots,True,4,fre,17. Composition de mots
3,1,0,Notations,Notations,True,4,fre,1. Notations
3,1,7,Pronostications,Pronostications,True,4,fre,8. Pronostications
3,2,16,Composition de mots,Composition de mots,True,4,fre,17. Composition de mots
3,2,0,Notations,Notations,True,4,fre,1. Notations
3,2,7,Pronostications,Pronostications,True,4,fre,8. Pronostications
3,2,19,Anagrammes,Composition de mots,False,4,fre,20. Anagrammes
3,3,0,Notations,Notations,True,4,fre,1. Notations
3,3,19,Anagrammes,Composition de mots,False,4,fre,20. Anagrammes
3,3,7,Pronostications,Pronostications,True,4,fre,8. Pronostications
3,3,16,Composition de mots,Composition de mots,True,4,fre,17. Composition de mots
4,1,18,Animiste,Animiste,True,4,fre,19. Animiste
4,1,13,Le côté subjectif,Le côté subjectif,True,4,fre,14. Le côté subjectif
4,1,14,Autre subjectivité,Le côté subjectif,False,4,fre,15. Autre subjectivité
4,1,7,Pronostications,Le côté subjectif,False,4,fre,8. Pronostications
4,2,14,Autre subjectivité,Le côté subjectif,False,4,fre,15. Autre subjectivité
4,2,7,Pronostications,Le côté subjectif,False,4,fre,8. Pronostications
4,2,13,Le côté subjectif,Le côté subjectif,True,4,fre,14. Le côté subjectif
4,2,18,Animiste,Animiste,True,4,fre,19. Animiste
4,3,13,Le côté subjectif,Le côté subjectif,True,4,fre,14. Le côté subjectif
4,3,18,Animiste,Animiste,True,4,fre,19. Animiste
4,3,7,Pronostications,Le côté subjectif,False,4,fre,8. Pronostications
4,3,14,Autre subjectivité,Le côté subjectif,False,4,fre,15. Autre subjectivité
5,1,8,Synchyses,Synchyses,True,4,fre,9. Synchyses
5,1,6,Rêve,Rêve,True,4,fre,7. Rêve
5,1,4,Rétrograde,Synchyses,False,4,fre,5. Rétrograde
5,1,10,Logo-rallye,Logo-rallye,True,4,fre,11. Logo-rallye
5,2,10,Logo-rallye,Logo-rallye,True,4,fre,11. Logo-rallye
5,2,4,Rétrograde,Rétrograde,True,4,fre,5. Rétrograde
5,2,8,Synchyses,Synchyses,True,4,fre,9. Synchyses
5,2,6,Rêve,Rêve,True,4,fre,7. Rêve
5,3,10,Logo-rallye,Logo-rallye,True,4,fre,11. Logo-rallye
5,3,8,Synchyses,Synchyses,True,4,fre,9. Synchyses
5,3,6,Rêve,Rêve,True,4,fre,7. Rêve
5,3,4,Rétrograde,Synchyses,False,4,fre,5. Rétrograde
6,1,19,Anagrammes,Synchyses,False,4,fre,20. Anagrammes
6,1,23,Prière dinsérer,Prière d'insérer,False,4,fre,24. Prière d'insérer
6,1,1,En partie double,Synchyses,False,4,fre,2. En partie double
6,1,8,Synchyses,Synchyses,True,4,fre,9. Synchyses
6,2,23,Prière dinsérer,Prière d'insérer,False,4,fre,24. Prière d'insérer
6,2,1,En partie double,Synchyses,False,4,fre,2. En partie double
6,2,8,Synchyses,Synchyses,True,4,fre,9. Synchyses
6,2,19,Anagrammes,Synchyses,False,4,fre,20. Anagrammes
6,3,8,Synchyses,Synchyses,True,4,fre,9. Synchyses
6,3,19,Anagrammes,Synchyses,False,4,fre,20. Anagrammes
6,3,1,En partie double,Synchyses,False,4,fre,2. En partie double
6,3,23,Prière dinsérer,Prière d'insérer,False,4,fre,24. Prière d'insérer
7,1,19,Anagrammes,Hésitations,False,4,fre,20. Anagrammes
7,1,20,Distinguo,Anagrammes,False,4,fre,21. Distinguo
7,1,9,Larc-en-ciel,Larc-en-ciel,True,4,fre,10. L'arc-en-ciel
7,1,11,Hésitations,Hésitations,True,4,fre,12. Hésitations
7,2,20,Distinguo,Anagrammes,False,4,fre,21. Distinguo
7,2,9,Larc-en-ciel,Larc-en-ciel,True,4,fre,10. L'arc-en-ciel
7,2,11,Hésitations,Hésitations,True,4,fre,12. Hésitations
7,2,19,Anagrammes,Hésitations,False,4,fre,20. Anagrammes
7,3,20,Distinguo,Anagrammes,False,4,fre,21. Distinguo
7,3,9,Larc-en-ciel,Larc-en-ciel,True,4,fre,10. L'arc-en-ciel
7,3,19,Anagrammes,Hésitations,False,4,fre,20. Anagrammes
7,3,11,Hésitations,Hésitations,True,4,fre,12. Hésitations
8,1,2,Litotes,Litotes,True,4,fre,3. Litotes
8,1,7,Pronostications,Pronostications,True,4,fre,8. Pronostications
8,1,9,Larc-en-ciel,Larc-en-ciel,True,4,fre,10. L'arc-en-ciel
8,2,7,Pronostications,Pronostications,True,4,fre,8. Pronostications
8,2,9,Larc-en-ciel,Larc-en-ciel,True,4,fre,10. L'arc-en-ciel
8,2,2,Litotes,Pronostications,False,4,fre,3. Litotes
8,3,9,Larc-en-ciel,Larc-en-ciel,True,4,fre,10. L'arc-en-ciel
8,3,2,Litotes,Pronostications,False,4,fre,3. Litotes
8,3,7,Pronostications,Pronostications,True,4,fre,8. Pronostications
9,1,11,Hésitations,Hésitations,True,4,fre,12. Hésitations
9,1,6,Rêve,Rêve,True,4,fre,7. Rêve
9,1,5,Surprises,Surprises,True,4,fre,6. Surprises
9,2,6,Rêve,Rêve,True,4,fre,7. Rêve
9,2,11,Hésitations,Hésitations,True,4,fre,12. Hésitations
9,2,5,Surprises,Surprises,True,4,fre,6. Surprises
9,3,11,Hésitations,Hésitations,True,4,fre,12. Hésitations
9,3,5,Surprises,Surprises,True,4,fre,6. Surprises
9,3,6,Rêve,Rêve,True,4,fre,7. Rêve
10,1,17,Négativités,Distinguo,False,4,fre,18. Négativités
10,1,5,Surprises,Surprises,True,4,fre,6. Surprises
10,1,19,Anagrammes,Anagrammes,True,4,fre,20. Anagrammes
10,1,20,Distinguo,Anagrammes,False,4,fre,21. Distinguo
10,2,17,Négativités,Distinguo,False,4,fre,18. Négativités
10,2,5,Surprises,Surprises,True,4,fre,6. Surprises
10,2,19,Anagrammes,Anagrammes,True,4,fre,20. Anagrammes
10,2,20,Distinguo,Anagrammes,False,4,fre,21. Distinguo
10,3,5,Surprises,Surprises,True,4,fre,6. Surprises
10,3,17,Négativités,Distinguo,False,4,fre,18. Négativités
10,3,19,Anagrammes,Anagrammes,True,4,fre,20. Anagrammes
10,3,20,Distinguo,Anagrammes,False,4,fre,21. Distinguo
11,1,17,Négativités,Distinguo,False,4,fre,18. Négativités
11,1,20,Distinguo,Distinguo,True,4,fre,21. Distinguo
11,1,7,Pronostications,Pronostications,True,4,fre,8. Pronostications
11,1,22,Lettre officielle,Lettre officielle,True,4,fre,23. Lettre officielle
11,2,17,Négativités,Distinguo,False,4,fre,18. Négativités
