Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,195,Figuurlijk,Figuurlijk,True,3,dut,4. Métaphoriquement
1,1,192,Notaties,Figuurlijk,False,3,dut,1. Notations
1,1,212,Onderscheid,Onderscheid,True,3,dut,21. Distinguo
1,2,212,Onderscheid,Onderscheid,True,3,dut,21. Distinguo
1,2,195,Figuurlijk,Figuurlijk,True,3,dut,4. Métaphoriquement
1,2,192,Notaties,Figuurlijk,False,3,dut,1. Notations
1,3,195,Figuurlijk,Figuurlijk,True,3,dut,4. Métaphoriquement
1,3,212,Onderscheid,Onderscheid,True,3,dut,21. Distinguo
1,3,192,Notaties,Figuurlijk,False,3,dut,1. Notations
2,1,215,Flaptekst,Flaptekst,True,3,dut,24. Prière d'insérer
2,1,213,Homeoptoton,Homeoptoton,True,3,dut,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,209,Ontkenningen,Ontkenningen,True,3,dut,18. Négativités
2,2,215,Flaptekst,Flaptekst,True,3,dut,24. Prière d'insérer
2,2,213,Homeoptoton,Homeoptoton,True,3,dut,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,209,Ontkenningen,Ontkenningen,True,3,dut,18. Négativités
2,3,213,Homeoptoton,Homeoptoton,True,3,dut,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,209,Ontkenningen,Ontkenningen,True,3,dut,18. Négativités
2,3,215,Flaptekst,Flaptekst,True,3,dut,24. Prière d'insérer
3,1,199,Prognose,Prognose,True,3,dut,8. Pronostications
3,1,208,Woordsamenstellingen,Woordsamenstellingen,True,3,dut,17. Composition de mots
3,1,211,Anagrammen,Woordsamenstellingen,False,3,dut,20. Anagrammes
3,2,211,Anagrammen,Woordsamenstellingen,False,3,dut,20. Anagrammes
3,2,208,Woordsamenstellingen,Woordsamenstellingen,True,3,dut,17. Composition de mots
3,2,199,Prognose,Prognose,True,3,dut,8. Pronostications
3,3,211,Anagrammen,Woordsamenstellingen,False,3,dut,20. Anagrammes
3,3,199,Prognose,Prognose,True,3,dut,8. Pronostications
3,3,208,Woordsamenstellingen,Woordsamenstellingen,True,3,dut,17. Composition de mots
4,1,199,Prognose,Subjectief,False,3,dut,8. Pronostications
4,1,206,Ook subjectief,Subjectief,False,3,dut,15. Autre subjectivité
4,1,205,Subjectief,Subjectief,True,3,dut,14. Le côté subjectif
4,2,206,Ook subjectief,Subjectief,False,3,dut,15. Autre subjectivité
4,2,205,Subjectief,Subjectief,True,3,dut,14. Le côté subjectif
4,2,199,Prognose,Subjectief,False,3,dut,8. Pronostications
4,3,206,Ook subjectief,Subjectief,False,3,dut,15. Autre subjectivité
4,3,199,Prognose,Subjectief,False,3,dut,8. Pronostications
4,3,205,Subjectief,Subjectief,True,3,dut,14. Le côté subjectif
5,1,196,Achterstevoren,Synchysis,False,3,dut,5. Rétrograde
5,1,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
5,1,198,Droom,Droom,True,3,dut,7. Rêve
5,2,196,Achterstevoren,Synchysis,False,3,dut,5. Rétrograde
5,2,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
5,2,198,Droom,Droom,True,3,dut,7. Rêve
5,3,198,Droom,Droom,True,3,dut,7. Rêve
5,3,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
5,3,196,Achterstevoren,Synchysis,False,3,dut,5. Rétrograde
6,1,211,Anagrammen,Synchysis,False,3,dut,20. Anagrammes
6,1,193,Dubbel op,Synchysis,False,3,dut,2. En partie double
6,1,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
6,2,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
6,2,193,Dubbel op,Synchysis,False,3,dut,2. En partie double
6,2,211,Anagrammen,Synchysis,False,3,dut,20. Anagrammes
6,3,193,Dubbel op,Synchysis,False,3,dut,2. En partie double
6,3,211,Anagrammen,Synchysis,False,3,dut,20. Anagrammes
6,3,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
7,1,211,Anagrammen,Onderscheid,False,3,dut,20. Anagrammes
7,1,201,Regenboog,Regenboog,True,3,dut,10. L'arc-en-ciel
7,1,212,Onderscheid,Anagrammen,False,3,dut,21. Distinguo
7,2,212,Onderscheid,Anagrammen,False,3,dut,21. Distinguo
7,2,211,Anagrammen,Onderscheid,False,3,dut,20. Anagrammes
7,2,201,Regenboog,Regenboog,True,3,dut,10. L'arc-en-ciel
7,3,211,Anagrammen,Anagrammen,True,3,dut,20. Anagrammes
7,3,201,Regenboog,Regenboog,True,3,dut,10. L'arc-en-ciel
7,3,212,Onderscheid,Anagrammen,False,3,dut,21. Distinguo
8,1,194,Litotes,Litotes,True,3,dut,3. Litotes
8,1,201,Regenboog,Regenboog,True,3,dut,10. L'arc-en-ciel
8,1,199,Prognose,Litotes,False,3,dut,8. Pronostications
8,2,201,Regenboog,Regenboog,True,3,dut,10. L'arc-en-ciel
8,2,199,Prognose,Litotes,False,3,dut,8. Pronostications
8,2,194,Litotes,Litotes,True,3,dut,3. Litotes
8,3,201,Regenboog,Regenboog,True,3,dut,10. L'arc-en-ciel
8,3,194,Litotes,Litotes,True,3,dut,3. Litotes
8,3,199,Prognose,Litotes,False,3,dut,8. Pronostications
9,1,203,Aarzelingen,Aarzelingen,True,3,dut,12. Hésitations
9,1,197,Verassingen,Aarzelingen,False,3,dut,6. Surprises
9,2,203,Aarzelingen,Aarzelingen,True,3,dut,12. Hésitations
9,2,197,Verassingen,Aarzelingen,False,3,dut,6. Surprises
9,3,197,Verassingen,Verassingen,True,3,dut,6. Surprises
9,3,203,Aarzelingen,Aarzelingen,True,3,dut,12. Hésitations
10,1,211,Anagrammen,Anagrammen,True,3,dut,20. Anagrammes
10,1,197,Verassingen,Verassingen,True,3,dut,6. Surprises
10,1,212,Onderscheid,Anagrammen,False,3,dut,21. Distinguo
10,2,212,Onderscheid,Anagrammen,False,3,dut,21. Distinguo
10,2,197,Verassingen,Verassingen,True,3,dut,6. Surprises
10,2,211,Anagrammen,Anagrammen,True,3,dut,20. Anagrammes
10,3,211,Anagrammen,Anagrammen,True,3,dut,20. Anagrammes
10,3,212,Onderscheid,Anagrammen,False,3,dut,21. Distinguo
10,3,197,Verassingen,Verassingen,True,3,dut,6. Surprises
11,1,214,Officieel schrijven,Officieel schrijven,True,3,dut,23. Lettre officielle
11,1,209,Ontkenningen,Onderscheid,False,3,dut,18. Négativités
11,1,212,Onderscheid,Onderscheid,True,3,dut,21. Distinguo
11,2,209,Ontkenningen,Onderscheid,False,3,dut,18. Négativités
11,2,212,Onderscheid,Onderscheid,True,3,dut,21. Distinguo
11,2,214,Officieel schrijven,Officieel schrijven,True,3,dut,23. Lettre officielle
11,3,214,Officieel schrijven,Officieel schrijven,True,3,dut,23. Lettre officielle
11,3,212,Onderscheid,Onderscheid,True,3,dut,21. Distinguo
11,3,209,Ontkenningen,Onderscheid,False,3,dut,18. Négativités
12,1,204,Bijzonderheden,Bijzonderheden,True,3,dut,13. Précisions
12,1,194,Litotes,Synchysis,False,3,dut,3. Litotes
12,1,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
12,2,204,Bijzonderheden,Bijzonderheden,True,3,dut,13. Précisions
12,2,194,Litotes,Synchysis,False,3,dut,3. Litotes
12,2,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
12,3,204,Bijzonderheden,Bijzonderheden,True,3,dut,13. Précisions
12,3,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
12,3,194,Litotes,Synchysis,False,3,dut,3. Litotes
13,1,204,Bijzonderheden,Bijzonderheden,True,3,dut,13. Précisions
13,1,206,Ook subjectief,Ook subjectief,True,3,dut,15. Autre subjectivité
13,1,212,Onderscheid,Bijzonderheden,False,3,dut,21. Distinguo
13,2,206,Ook subjectief,Ook subjectief,True,3,dut,15. Autre subjectivité
13,2,212,Onderscheid,Bijzonderheden,False,3,dut,21. Distinguo
13,2,204,Bijzonderheden,Bijzonderheden,True,3,dut,13. Précisions
13,3,204,Bijzonderheden,Bijzonderheden,True,3,dut,13. Précisions
13,3,212,Onderscheid,Bijzonderheden,False,3,dut,21. Distinguo
13,3,206,Ook subjectief,Ook subjectief,True,3,dut,15. Autre subjectivité
14,1,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
14,1,215,Flaptekst,Flaptekst,True,3,dut,24. Prière d'insérer
14,1,210,Animisme,Animisme,True,3,dut,19. Animiste
14,2,215,Flaptekst,Flaptekst,True,3,dut,24. Prière d'insérer
14,2,210,Animisme,Animisme,True,3,dut,19. Animiste
14,2,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
14,3,210,Animisme,Animisme,True,3,dut,19. Animiste
14,3,215,Flaptekst,Flaptekst,True,3,dut,24. Prière d'insérer
14,3,200,Synchysis,Synchysis,True,3,dut,9. Synchyses
15,1,207,Relaas,Dubbel op,False,3,dut,16. Récit
15,1,194,Litotes,Dubbel op,False,3,dut,3. Litotes
15,1,193,Dubbel op,Dubbel op,True,3,dut,2. En partie double
15,2,207,Relaas,Dubbel op,False,3,dut,16. Récit
15,2,193,Dubbel op,Dubbel op,True,3,dut,2. En partie double
15,2,194,Litotes,Dubbel op,False,3,dut,3. Litotes
15,3,207,Relaas,Dubbel op,False,3,dut,16. Récit
15,3,193,Dubbel op,Dubbel op,True,3,dut,2. En partie double
15,3,194,Litotes,Dubbel op,False,3,dut,3. Litotes
16,1,194,Litotes,Litotes,True,3,dut,3. Litotes
16,1,204,Bijzonderheden,Bijzonderheden,True,3,dut,13. Précisions
16,2,204,Bijzonderheden,Bijzonderheden,True,3,dut,13. Précisions
16,2,194,Litotes,Litotes,True,3,dut,3. Litotes
16,3,204,Bijzonderheden,Bijzonderheden,True,3,dut,13. Précisions
16,3,194,Litotes,Litotes,True,3,dut,3. Litotes
17,1,213,Homeoptoton,Homeoptoton,True,3,dut,22. Homéoptotes (1947) / Homéotéleutes (1976)
17,1,215,Flaptekst,Flaptekst,True,3,dut,24. Prière d'insérer
17,1,195,Figuurlijk,Figuurlijk,True,3,dut,4. Métaphoriquement
17,2,215,Flaptekst,Flaptekst,True,3,dut,24. Prière d'insérer
17,2,195,Figuurlijk,Figuurlijk,True,3,dut,4. Métaphoriquement
17,2,213,Homeoptoton,Homeoptoton,True,3,dut,22. Homéoptotes (1947) / Homéotéleutes (1976)
17,3,195,Figuurlijk,Figuurlijk,True,3,dut,4. Métaphoriquement
17,3,213,Homeoptoton,Homeoptoton,True,3,dut,22. Homéoptotes (1947) / Homéotéleutes (1976)
17,3,215,Flaptekst,Flaptekst,True,3,dut,24. Prière d'insérer
18,1,206,Ook subjectief,Verassingen,False,3,dut,15. Autre subjectivité
18,1,197,Verassingen,Verassingen,True,3,dut,6. Surprises
18,1,192,Notaties,Ook subjectief,False,3,dut,1. Notations
18,2,192,Notaties,Ook subjectief,False,3,dut,1. Notations
18,2,206,Ook subjectief,Verassingen,False,3,dut,15. Autre subjectivité
18,2,197,Verassingen,Verassingen,True,3,dut,6. Surprises
18,3,206,Ook subjectief,Verassingen,False,3,dut,15. Autre subjectivité
18,3,192,Notaties,Ook subjectief,False,3,dut,1. Notations
18,3,197,Verassingen,Verassingen,True,3,dut,6. Surprises
19,1,201,Regenboog,Onderscheid,False,3,dut,10. L'arc-en-ciel
19,1,212,Onderscheid,Onderscheid,True,3,dut,21. Distinguo
19,2,201,Regenboog,Onderscheid,False,3,dut,10. L'arc-en-ciel
19,2,212,Onderscheid,Onderscheid,True,3,dut,21. Distinguo
19,3,212,Onderscheid,Onderscheid,True,3,dut,21. Distinguo
19,3,201,Regenboog,Onderscheid,False,3,dut,10. L'arc-en-ciel
20,1,192,Notaties,Notaties,True,3,dut,1. Notations
20,1,211,Anagrammen,Anagrammen,True,3,dut,20. Anagrammes
20,1,208,Woordsamenstellingen,Woordsamenstellingen,True,3,dut,17. Composition de mots
20,2,208,Woordsamenstellingen,Woordsamenstellingen,True,3,dut,17. Composition de mots
20,2,192,Notaties,Notaties,True,3,dut,1. Notations
20,2,211,Anagrammen,Anagrammen,True,3,dut,20. Anagrammes
20,3,208,Woordsamenstellingen,Woordsamenstellingen,True,3,dut,17. Composition de mots
20,3,211,Anagrammen,Anagrammen,True,3,dut,20. Anagrammes
20,3,192,Notaties,Notaties,True,3,dut,1. Notations
