Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,51,Metaphorisch,Metaphorisch,True,2,ger,4. Métaphoriquement
1,1,68,Distinguo,Metaphorisch,False,2,ger,21. Distinguo
1,2,51,Metaphorisch,Metaphorisch,True,2,ger,4. Métaphoriquement
1,2,68,Distinguo,Metaphorisch,False,2,ger,21. Distinguo
1,3,51,Metaphorisch,Metaphorisch,True,2,ger,4. Métaphoriquement
1,3,68,Distinguo,Metaphorisch,False,2,ger,21. Distinguo
2,1,71,Klappentext,Klappentext,True,2,ger,24. Prière d'insérer
2,1,69,Homöoteleuton,Homöoteleuton,True,2,ger,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,71,Klappentext,Klappentext,True,2,ger,24. Prière d'insérer
2,2,69,Homöoteleuton,Homöoteleuton,True,2,ger,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,71,Klappentext,Klappentext,True,2,ger,24. Prière d'insérer
2,3,69,Homöoteleuton,Homöoteleuton,True,2,ger,22. Homéoptotes (1947) / Homéotéleutes (1976)
3,1,64,Wortkomposition,Wortkomposition,True,2,ger,17. Composition de mots
3,1,55,Vorhersage,Vorhersage,True,2,ger,8. Pronostications
3,2,64,Wortkomposition,Wortkomposition,True,2,ger,17. Composition de mots
3,2,55,Vorhersage,Vorhersage,True,2,ger,8. Pronostications
3,3,55,Vorhersage,Vorhersage,True,2,ger,8. Pronostications
3,3,64,Wortkomposition,Wortkomposition,True,2,ger,17. Composition de mots
4,1,55,Vorhersage,Vorhersage,True,2,ger,8. Pronostications
4,1,61,Die subjektive Seite,Die subjektive Seite,True,2,ger,14. Le côté subjectif
4,2,61,Die subjektive Seite,Die subjektive Seite,True,2,ger,14. Le côté subjectif
4,2,55,Vorhersage,Vorhersage,True,2,ger,8. Pronostications
4,3,61,Die subjektive Seite,Die subjektive Seite,True,2,ger,14. Le côté subjectif
4,3,55,Vorhersage,Vorhersage,True,2,ger,8. Pronostications
5,1,52,Rückwärts,Synchysis,False,2,ger,5. Rétrograde
5,1,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
5,2,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
5,2,52,Rückwärts,Synchysis,False,2,ger,5. Rétrograde
5,3,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
5,3,52,Rückwärts,Synchysis,False,2,ger,5. Rétrograde
6,1,67,Anagramme,Synchysis,False,2,ger,20. Anagrammes
6,1,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
6,2,67,Anagramme,Synchysis,False,2,ger,20. Anagrammes
6,2,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
6,3,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
6,3,67,Anagramme,Synchysis,False,2,ger,20. Anagrammes
7,1,68,Distinguo,Distinguo,True,2,ger,21. Distinguo
7,1,57,Regenbogen,Distinguo,False,2,ger,10. L'arc-en-ciel
7,2,68,Distinguo,Distinguo,True,2,ger,21. Distinguo
7,2,57,Regenbogen,Distinguo,False,2,ger,10. L'arc-en-ciel
7,3,57,Regenbogen,Distinguo,False,2,ger,10. L'arc-en-ciel
7,3,68,Distinguo,Distinguo,True,2,ger,21. Distinguo
8,1,57,Regenbogen,Vorhersage,False,2,ger,10. L'arc-en-ciel
8,1,55,Vorhersage,Vorhersage,True,2,ger,8. Pronostications
8,2,55,Vorhersage,Vorhersage,True,2,ger,8. Pronostications
8,2,57,Regenbogen,Vorhersage,False,2,ger,10. L'arc-en-ciel
8,3,57,Regenbogen,Vorhersage,False,2,ger,10. L'arc-en-ciel
8,3,55,Vorhersage,Vorhersage,True,2,ger,8. Pronostications
9,1,59,Zögern,Überraschungen,False,2,ger,12. Hésitations
9,1,53,Überraschungen,Überraschungen,True,2,ger,6. Surprises
9,2,53,Überraschungen,Überraschungen,True,2,ger,6. Surprises
9,2,59,Zögern,Überraschungen,False,2,ger,12. Hésitations
9,3,59,Zögern,Überraschungen,False,2,ger,12. Hésitations
9,3,53,Überraschungen,Überraschungen,True,2,ger,6. Surprises
10,1,67,Anagramme,Anagramme,True,2,ger,20. Anagrammes
10,1,68,Distinguo,Anagramme,False,2,ger,21. Distinguo
10,2,68,Distinguo,Anagramme,False,2,ger,21. Distinguo
10,2,67,Anagramme,Anagramme,True,2,ger,20. Anagrammes
10,3,68,Distinguo,Anagramme,False,2,ger,21. Distinguo
10,3,67,Anagramme,Anagramme,True,2,ger,20. Anagrammes
11,1,70,Amtlicher Brief,Distinguo,False,2,ger,23. Lettre officielle
11,1,68,Distinguo,Distinguo,True,2,ger,21. Distinguo
11,2,68,Distinguo,Distinguo,True,2,ger,21. Distinguo
11,2,70,Amtlicher Brief,Distinguo,False,2,ger,23. Lettre officielle
11,3,68,Distinguo,Distinguo,True,2,ger,21. Distinguo
11,3,70,Amtlicher Brief,Distinguo,False,2,ger,23. Lettre officielle
12,1,60,Genauigkeiten,Synchysis,False,2,ger,13. Précisions
12,1,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
12,2,60,Genauigkeiten,Genauigkeiten,True,2,ger,13. Précisions
12,2,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
12,3,60,Genauigkeiten,Genauigkeiten,True,2,ger,13. Précisions
12,3,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
13,1,68,Distinguo,Genauigkeiten,False,2,ger,21. Distinguo
13,1,60,Genauigkeiten,Genauigkeiten,True,2,ger,13. Précisions
13,2,60,Genauigkeiten,Genauigkeiten,True,2,ger,13. Précisions
13,2,68,Distinguo,Genauigkeiten,False,2,ger,21. Distinguo
13,3,68,Distinguo,Genauigkeiten,False,2,ger,21. Distinguo
13,3,60,Genauigkeiten,Genauigkeiten,True,2,ger,13. Précisions
14,1,71,Klappentext,Klappentext,True,2,ger,24. Prière d'insérer
14,1,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
14,2,71,Klappentext,Klappentext,True,2,ger,24. Prière d'insérer
14,2,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
14,3,71,Klappentext,Klappentext,True,2,ger,24. Prière d'insérer
14,3,56,Synchysis,Synchysis,True,2,ger,9. Synchyses
15,1,63,Erzählung,Erzählung,True,2,ger,16. Récit
15,1,50,Litotes,Erzählung,False,2,ger,3. Litotes
15,2,63,Erzählung,Erzählung,True,2,ger,16. Récit
15,2,50,Litotes,Erzählung,False,2,ger,3. Litotes
15,3,50,Litotes,Erzählung,False,2,ger,3. Litotes
15,3,63,Erzählung,Erzählung,True,2,ger,16. Récit
16,1,60,Genauigkeiten,Genauigkeiten,True,2,ger,13. Précisions
16,1,50,Litotes,Litotes,True,2,ger,3. Litotes
16,2,60,Genauigkeiten,Genauigkeiten,True,2,ger,13. Précisions
16,2,50,Litotes,Litotes,True,2,ger,3. Litotes
16,3,60,Genauigkeiten,Genauigkeiten,True,2,ger,13. Précisions
16,3,50,Litotes,Litotes,True,2,ger,3. Litotes
17,1,71,Klappentext,Klappentext,True,2,ger,24. Prière d'insérer
17,1,51,Metaphorisch,Metaphorisch,True,2,ger,4. Métaphoriquement
17,2,51,Metaphorisch,Metaphorisch,True,2,ger,4. Métaphoriquement
17,2,71,Klappentext,Klappentext,True,2,ger,24. Prière d'insérer
17,3,51,Metaphorisch,Metaphorisch,True,2,ger,4. Métaphoriquement
17,3,71,Klappentext,Klappentext,True,2,ger,24. Prière d'insérer
18,1,62,Andere Subjektivität,Andere Subjektivität,True,2,ger,15. Autre subjectivité
18,1,53,Überraschungen,Andere Subjektivität,False,2,ger,6. Surprises
18,2,53,Überraschungen,Überraschungen,True,2,ger,6. Surprises
18,2,62,Andere Subjektivität,Andere Subjektivität,True,2,ger,15. Autre subjectivité
18,3,53,Überraschungen,Überraschungen,True,2,ger,6. Surprises
18,3,62,Andere Subjektivität,Andere Subjektivität,True,2,ger,15. Autre subjectivité
19,1,57,Regenbogen,Distinguo,False,2,ger,10. L'arc-en-ciel
19,1,68,Distinguo,Distinguo,True,2,ger,21. Distinguo
19,2,57,Regenbogen,Regenbogen,True,2,ger,10. L'arc-en-ciel
19,2,68,Distinguo,Distinguo,True,2,ger,21. Distinguo
19,3,57,Regenbogen,Distinguo,False,2,ger,10. L'arc-en-ciel
19,3,68,Distinguo,Distinguo,True,2,ger,21. Distinguo
20,1,48,Angaben,Angaben,True,2,ger,1. Notations
20,1,64,Wortkomposition,Wortkomposition,True,2,ger,17. Composition de mots
20,2,48,Angaben,Angaben,True,2,ger,1. Notations
20,2,64,Wortkomposition,Wortkomposition,True,2,ger,17. Composition de mots
20,3,48,Angaben,Angaben,True,2,ger,1. Notations
20,3,64,Wortkomposition,Wortkomposition,True,2,ger,17. Composition de mots
