Experiment,Story Index,True Label,Predicted Label,Correct,Label Space Size
1,17,negativities,polyptotes,False,15
1,45,parechesis,gallicisms,False,15
1,51,biased,gallicisms,False,15
1,53,olfactory,olfactory,True,15
1,75,back slang,gallicisms,False,15
1,36,syncope,ignorance,False,15
1,27,ignorance,ignorance,True,15
1,66,gallicisms,gallicisms,True,15
1,62,reactionary,reactionary,True,15
1,49,awkward,reactionary,False,15
1,63,haiku,haiku,True,15
1,33,polyptotes,gallicisms,False,15
1,5,surprises,reactionary,False,15
1,38,exclamations,exclamations,True,15
1,65,feminine,gallicisms,False,15
2,12,precision,mathematical,False,15
2,42,cross-examination,minimism,False,15
2,69,paragoge,alexandrines,False,15
2,72,consequences,minimism,False,15
2,94,precious,for ze Frrensh,False,15
2,32,alexandrines,alexandrines,True,15
2,17,negativities,more or less,False,15
2,91,mathematical,mathematical,True,15
2,78,more or less,modern style,False,15
2,61,hellenisms,hellenisms,True,15
2,80,for ze Frrensh,for ze Frrensh,True,15
2,18,minimism,minimism,True,15
2,9,the rainbow,more or less,False,15
2,39,you know,you know,True,15
2,88,modern style,for ze Frrensh,False,15
3,7,prognostication,visual,False,15
3,40,noble,precision,False,15
3,55,tactile,tactile,True,15
3,56,visual,botanical,False,15
3,82,botanical,botanical,True,15
3,26,insistence,precision,False,15
3,11,hesitation,hesitation,True,15
3,79,opera English,opera English,True,15
3,62,reactionary,reactionary,True,15
3,45,parechesis,parechesis,True,15
3,67,prosthesis,hesitation,False,15
3,12,precision,precision,True,15
3,1,double entry,opera English,False,15
3,33,polyptotes,polyptotes,True,15
3,71,metathesis,metathesis,True,15
4,8,synchysis,interjections,False,15
4,51,biased,free verse,False,15
4,73,proper names,proper names,True,15
4,79,opera English,opera English,True,15
4,94,precious,synchysis,False,15
4,41,cockney,cockney,True,15
4,24,onomatopoeia,onomatopoeia,True,15
4,93,interjections,interjections,True,15
4,81,spoonerisms,synchysis,False,15
4,64,free verse,free verse,True,15
4,86,zoological,zoological,True,15
4,31,passive,passive,True,15
4,0,notation,cockney,False,15
4,42,cross-examination,interjections,False,15
4,91,mathematical,mathematical,True,15
5,11,hesitation,the subjective side,False,15
5,37,speaking personally,speaking personally,True,15
5,40,noble,gallicisms,False,15
5,57,auditory,gallicisms,False,15
5,91,mathematical,mathematical,True,15
5,28,past,the subjective side,False,15
5,13,the subjective side,reported speech,False,15
5,71,metathesis,parts of speech,False,15
5,63,haiku,haiku,True,15
5,38,exclamations,exclamations,True,15
5,66,gallicisms,gallicisms,True,15
5,18,minimism,reported speech,False,15
5,10,word game,gallicisms,False,15
5,30,reported speech,reported speech,True,15
5,70,parts of speech,parts of speech,True,15
6,15,narrative,narrative,True,15
6,42,cross-examination,reported speech,False,15
6,56,visual,visual,True,15
6,70,parts of speech,parts of speech,True,15
6,78,more or less,narrative,False,15
6,36,syncope,syncope,True,15
6,26,insistence,narrative,False,15
6,77,dog latin,narrative,False,15
6,71,metathesis,narrative,False,15
6,49,awkward,hesitation,False,15
6,74,rhyming slang,rhyming slang,True,15
6,30,reported speech,reported speech,True,15
6,11,hesitation,hesitation,True,15
6,40,noble,narrative,False,15
6,76,antiphrasis,narrative,False,15
7,8,synchysis,synchysis,True,15
7,23,blurb,blurb,True,15
7,33,polyptotes,synchysis,False,15
7,37,speaking personally,speaking personally,True,15
7,90,portrait,portrait,True,15
7,16,word-composition,synchysis,False,15
7,10,word game,portrait,False,15
7,87,futile,portrait,False,15
7,61,hellenisms,hellenisms,True,15
7,24,onomatopoeia,onomatopoeia,True,15
7,79,opera English,opera English,True,15
7,11,hesitation,synchysis,False,15
7,4,retrograde,portrait,False,15
7,19,anagrams,hellenisms,False,15
7,85,gastronomical,portrait,False,15
8,30,reported speech,reported speech,True,15
8,64,free verse,free verse,True,15
8,68,epenthesis,free verse,False,15
8,70,parts of speech,parts of speech,True,15
8,91,mathematical,mathematical,True,15
8,53,olfactory,olfactory,True,15
8,35,apocope,parts of speech,False,15
8,88,modern style,casual,False,15
8,75,back slang,back slang,True,15
8,67,prosthesis,casual,False,15
8,76,antiphrasis,casual,False,15
