Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,96,La bazo,La bazo,True,3,epo,1. Notations
1,1,99,Metafora,Metafora,True,3,epo,4. Métaphoriquement
1,1,116,Distingoj,Distingoj,True,3,epo,21. Distinguo
1,2,116,Distingoj,Distingoj,True,3,epo,21. Distinguo
1,2,96,La bazo,La bazo,True,3,epo,1. Notations
1,2,99,Metafora,Metafora,True,3,epo,4. Métaphoriquement
1,3,116,Distingoj,Distingoj,True,3,epo,21. Distinguo
1,3,96,La bazo,La bazo,True,3,epo,1. Notations
1,3,99,Metafora,Metafora,True,3,epo,4. Métaphoriquement
2,1,117,Samkomenca,Samkomenca,True,3,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,119,Eldonista konigo,Eldonista konigo,True,3,epo,24. Prière d'insérer
2,1,113,Negativecoj,Samkomenca,False,3,epo,18. Négativités
2,2,113,Negativecoj,Samkomenca,False,3,epo,18. Négativités
2,2,119,Eldonista konigo,Eldonista konigo,True,3,epo,24. Prière d'insérer
2,2,117,Samkomenca,Samkomenca,True,3,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,119,Eldonista konigo,Eldonista konigo,True,3,epo,24. Prière d'insérer
2,3,113,Negativecoj,Samkomenca,False,3,epo,18. Négativités
2,3,117,Samkomenca,Samkomenca,True,3,epo,22. Homéoptotes (1947) / Homéotéleutes (1976)
3,1,115,Anagrama,Vortkunmetoj,False,3,epo,20. Anagrammes
3,1,112,Vortkunmetoj,Vortkunmetoj,True,3,epo,17. Composition de mots
3,1,103,Antaŭdiroj,Antaŭdiroj,True,3,epo,8. Pronostications
3,2,115,Anagrama,Vortkunmetoj,False,3,epo,20. Anagrammes
3,2,112,Vortkunmetoj,Vortkunmetoj,True,3,epo,17. Composition de mots
3,2,103,Antaŭdiroj,Antaŭdiroj,True,3,epo,8. Pronostications
3,3,103,Antaŭdiroj,Antaŭdiroj,True,3,epo,8. Pronostications
3,3,112,Vortkunmetoj,Vortkunmetoj,True,3,epo,17. Composition de mots
3,3,115,Anagrama,Vortkunmetoj,False,3,epo,20. Anagrammes
4,1,110,"Subjektiva, alie",Subjektiva,False,3,epo,15. Autre subjectivité
