Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,75,Metaforicamente,Distinguo,False,7,ita,4. Métaphoriquement
1,1,80,Sinchisi,Notazioni,False,7,ita,9. Synchyses
1,1,79,Pronostici,Distinguo,False,7,ita,8. Pronostications
1,1,92,Distinguo,Notazioni,False,7,ita,21. Distinguo
1,1,95,Comunicato stampa,Distinguo,False,7,ita,24. Prière d'insérer
1,1,72,Notazioni,Distinguo,False,7,ita,1. Notations
1,2,75,Metaforicamente,Distinguo,False,7,ita,4. Métaphoriquement
1,2,80,Sinchisi,Notazioni,False,7,ita,9. Synchyses
1,2,79,Pronostici,Distinguo,False,7,ita,8. Pronostications
1,2,92,Distinguo,Notazioni,False,7,ita,21. Distinguo
1,2,95,Comunicato stampa,Distinguo,False,7,ita,24. Prière d'insérer
1,2,72,Notazioni,Distinguo,False,7,ita,1. Notations
1,3,92,Distinguo,Notazioni,False,7,ita,21. Distinguo
1,3,72,Notazioni,Distinguo,False,7,ita,1. Notations
1,3,75,Metaforicamente,Distinguo,False,7,ita,4. Métaphoriquement
1,3,79,Pronostici,Distinguo,False,7,ita,8. Pronostications
1,3,80,Sinchisi,Notazioni,False,7,ita,9. Synchyses
1,3,95,Comunicato stampa,Distinguo,False,7,ita,24. Prière d'insérer
2,1,95,Comunicato stampa,Litoti,False,7,ita,24. Prière d'insérer
2,1,89,Negatività,Litoti,False,7,ita,18. Négativités
2,1,90,Animismo,Aspetto soggettivo I,False,7,ita,19. Animiste
2,1,85,Aspetto soggettivo I,Litoti,False,7,ita,14. Le côté subjectif
2,1,73,Partita doppia,Litoti,False,7,ita,2. En partie double
2,1,93,Omoteleuti,Litoti,False,7,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,74,Litoti,Aspetto soggettivo I,False,7,ita,3. Litotes
2,2,90,Animismo,Litoti,False,7,ita,19. Animiste
2,2,89,Negatività,Litoti,False,7,ita,18. Négativités
2,2,74,Litoti,Aspetto soggettivo I,False,7,ita,3. Litotes
2,2,95,Comunicato stampa,Litoti,False,7,ita,24. Prière d'insérer
2,2,73,Partita doppia,Litoti,False,7,ita,2. En partie double
2,2,93,Omoteleuti,Litoti,False,7,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,85,Aspetto soggettivo I,Negatività,False,7,ita,14. Le côté subjectif
2,3,90,Animismo,Aspetto soggettivo I,False,7,ita,19. Animiste
2,3,95,Comunicato stampa,Litoti,False,7,ita,24. Prière d'insérer
2,3,74,Litoti,Aspetto soggettivo I,False,7,ita,3. Litotes
2,3,85,Aspetto soggettivo I,Litoti,False,7,ita,14. Le côté subjectif
2,3,93,Omoteleuti,Litoti,False,7,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,73,Partita doppia,Litoti,False,7,ita,2. En partie double
2,3,89,Negatività,Aspetto soggettivo I,False,7,ita,18. Négativités
3,1,91,Anagrammi,Parole composte,False,7,ita,20. Anagrammes
3,1,89,Negatività,Parole composte,False,7,ita,18. Négativités
3,1,72,Notazioni,Parole composte,False,7,ita,1. Notations
3,1,78,Sogno,Sogno,True,7,ita,7. Rêve
3,1,88,Parole composte,Parole composte,True,7,ita,17. Composition de mots
3,1,94,Lettera ufficiale,Lettera ufficiale,True,7,ita,23. Lettre officielle
3,1,79,Pronostici,Sogno,False,7,ita,8. Pronostications
3,2,94,Lettera ufficiale,Lettera ufficiale,True,7,ita,23. Lettre officielle
3,2,89,Negatività,Parole composte,False,7,ita,18. Négativités
3,2,72,Notazioni,Parole composte,False,7,ita,1. Notations
3,2,88,Parole composte,Parole composte,True,7,ita,17. Composition de mots
3,2,78,Sogno,Sogno,True,7,ita,7. Rêve
3,2,79,Pronostici,Sogno,False,7,ita,8. Pronostications
3,2,91,Anagrammi,Parole composte,False,7,ita,20. Anagrammes
3,3,88,Parole composte,Parole composte,True,7,ita,17. Composition de mots
3,3,94,Lettera ufficiale,Lettera ufficiale,True,7,ita,23. Lettre officielle
3,3,79,Pronostici,Sogno,False,7,ita,8. Pronostications
3,3,78,Sogno,Sogno,True,7,ita,7. Rêve
3,3,89,Negatività,Parole composte,False,7,ita,18. Négativités
3,3,72,Notazioni,Parole composte,False,7,ita,1. Notations
3,3,91,Anagrammi,Parole composte,False,7,ita,20. Anagrammes
4,1,90,Animismo,Aspetto soggettivo I,False,7,ita,19. Animiste
4,1,86,Altro aspetto soggettivo,Aspetto soggettivo I,False,7,ita,15. Autre subjectivité
4,1,80,Sinchisi,Notazioni,False,7,ita,9. Synchyses
4,1,77,Sorprese,Sorprese,True,7,ita,6. Surprises
