Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,27,Metaphorically,Metaphorically,True,4,eng,4. Métaphoriquement
1,1,47,Blurb,Blurb,True,4,eng,24. Prière d'insérer
1,1,24,Notation,Distinguo,False,4,eng,1. Notations
1,1,44,Distinguo,Distinguo,True,4,eng,21. Distinguo
1,2,27,Metaphorically,Metaphorically,True,4,eng,4. Métaphoriquement
1,2,47,Blurb,Blurb,True,4,eng,24. Prière d'insérer
1,2,24,Notation,Distinguo,False,4,eng,1. Notations
1,2,44,Distinguo,Distinguo,True,4,eng,21. Distinguo
1,3,47,Blurb,Blurb,True,4,eng,24. Prière d'insérer
1,3,24,Notation,Distinguo,False,4,eng,1. Notations
1,3,44,Distinguo,Distinguo,True,4,eng,21. Distinguo
1,3,27,Metaphorically,Metaphorically,True,4,eng,4. Métaphoriquement
2,1,47,Blurb,Blurb,True,4,eng,24. Prière d'insérer
2,1,45,Homeoptotes,Homeoptotes,True,4,eng,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,41,Negativities,Litotes,False,4,eng,18. Négativités
2,1,26,Litotes,Litotes,True,4,eng,3. Litotes
2,2,45,Homeoptotes,Homeoptotes,True,4,eng,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,47,Blurb,Blurb,True,4,eng,24. Prière d'insérer
2,2,41,Negativities,Litotes,False,4,eng,18. Négativités
2,2,26,Litotes,Litotes,True,4,eng,3. Litotes
2,3,45,Homeoptotes,Homeoptotes,True,4,eng,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,26,Litotes,Litotes,True,4,eng,3. Litotes
2,3,41,Negativities,Litotes,False,4,eng,18. Négativités
2,3,47,Blurb,Blurb,True,4,eng,24. Prière d'insérer
3,1,24,Notation,Word-composition,False,4,eng,1. Notations
3,1,40,Word-composition,Word-composition,True,4,eng,17. Composition de mots
3,1,43,Anagrams,Word-composition,False,4,eng,20. Anagrammes
3,1,31,Prognostication,Prognostication,True,4,eng,8. Pronostications
3,2,40,Word-composition,Word-composition,True,4,eng,17. Composition de mots
3,2,31,Prognostication,Prognostication,True,4,eng,8. Pronostications
3,2,24,Notation,Word-composition,False,4,eng,1. Notations
3,2,43,Anagrams,Word-composition,False,4,eng,20. Anagrammes
3,3,31,Prognostication,Prognostication,True,4,eng,8. Pronostications
3,3,40,Word-composition,Word-composition,True,4,eng,17. Composition de mots
3,3,43,Anagrams,Word-composition,False,4,eng,20. Anagrammes
3,3,24,Notation,Word-composition,False,4,eng,1. Notations
4,1,31,Prognostication,The subjective side,False,4,eng,8. Pronostications
4,1,37,The subjective side,The subjective side,True,4,eng,14. Le côté subjectif
4,1,42,Animism,Another subjectivity,False,4,eng,19. Animiste
4,1,38,Another subjectivity,The subjective side,False,4,eng,15. Autre subjectivité
