Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,219,Метафорично,Метафорично,True,3,ukr,4. Métaphoriquement
1,1,216,Нотатки,Метафорично,False,3,ukr,1. Notations
1,1,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
1,2,216,Нотатки,Метафорично,False,3,ukr,1. Notations
1,2,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
1,2,219,Метафорично,Метафорично,True,3,ukr,4. Métaphoriquement
1,3,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
1,3,216,Нотатки,Метафорично,False,3,ukr,1. Notations
1,3,219,Метафорично,Метафорично,True,3,ukr,4. Métaphoriquement
2,1,233,Заперечення,Гомеотелота,False,3,ukr,18. Négativités
2,1,239,Видавнича анотація,Видавнича анотація,True,3,ukr,24. Prière d'insérer
2,1,237,Гомеотелота,Гомеотелота,True,3,ukr,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,239,Видавнича анотація,Видавнича анотація,True,3,ukr,24. Prière d'insérer
2,2,233,Заперечення,Гомеотелота,False,3,ukr,18. Négativités
2,2,237,Гомеотелота,Гомеотелота,True,3,ukr,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,237,Гомеотелота,Гомеотелота,True,3,ukr,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,233,Заперечення,Гомеотелота,False,3,ukr,18. Négativités
2,3,239,Видавнича анотація,Видавнича анотація,True,3,ukr,24. Prière d'insérer
3,1,232,Словоскладення,Словоскладення,True,3,ukr,17. Composition de mots
3,1,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
3,1,223,Пророкування,Пророкування,True,3,ukr,8. Pronostications
3,2,232,Словоскладення,Словоскладення,True,3,ukr,17. Composition de mots
3,2,223,Пророкування,Пророкування,True,3,ukr,8. Pronostications
3,2,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
3,3,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
3,3,223,Пророкування,Пророкування,True,3,ukr,8. Pronostications
3,3,232,Словоскладення,Словоскладення,True,3,ukr,17. Composition de mots
4,1,230,Інший суб’єктивний погляд,Суб’єктивний погляд,False,3,ukr,15. Autre subjectivité
4,1,229,Суб’єктивний погляд,Суб’єктивний погляд,True,3,ukr,14. Le côté subjectif
4,1,223,Пророкування,Пророкування,True,3,ukr,8. Pronostications
4,2,223,Пророкування,Пророкування,True,3,ukr,8. Pronostications
4,2,229,Суб’єктивний погляд,Суб’єктивний погляд,True,3,ukr,14. Le côté subjectif
4,2,230,Інший суб’єктивний погляд,Суб’єктивний погляд,False,3,ukr,15. Autre subjectivité
4,3,229,Суб’єктивний погляд,Суб’єктивний погляд,True,3,ukr,14. Le côté subjectif
4,3,230,Інший суб’єктивний погляд,Суб’єктивний погляд,False,3,ukr,15. Autre subjectivité
4,3,223,Пророкування,Пророкування,True,3,ukr,8. Pronostications
5,1,224,Синхиза,У зворотному порядку,False,3,ukr,9. Synchyses
5,1,220,У зворотному порядку,У зворотному порядку,True,3,ukr,5. Rétrograde
5,1,222,Сон,Сон,True,3,ukr,7. Rêve
5,2,222,Сон,Сон,True,3,ukr,7. Rêve
5,2,224,Синхиза,У зворотному порядку,False,3,ukr,9. Synchyses
5,2,220,У зворотному порядку,У зворотному порядку,True,3,ukr,5. Rétrograde
5,3,224,Синхиза,У зворотному порядку,False,3,ukr,9. Synchyses
5,3,220,У зворотному порядку,У зворотному порядку,True,3,ukr,5. Rétrograde
5,3,222,Сон,Сон,True,3,ukr,7. Rêve
6,1,217,З подвоєнням,З подвоєнням,True,3,ukr,2. En partie double
6,1,224,Синхиза,Синхиза,True,3,ukr,9. Synchyses
6,1,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
6,2,224,Синхиза,Синхиза,True,3,ukr,9. Synchyses
6,2,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
6,2,217,З подвоєнням,З подвоєнням,True,3,ukr,2. En partie double
6,3,217,З подвоєнням,З подвоєнням,True,3,ukr,2. En partie double
6,3,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
6,3,224,Синхиза,Синхиза,True,3,ukr,9. Synchyses
7,1,236,Певні відмінності,Анаграми,False,3,ukr,21. Distinguo
7,1,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
7,1,225,Райдуга навпаки,Анаграми,False,3,ukr,10. L'arc-en-ciel
7,2,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
7,2,225,Райдуга навпаки,Анаграми,False,3,ukr,10. L'arc-en-ciel
7,2,236,Певні відмінності,Анаграми,False,3,ukr,21. Distinguo
7,3,225,Райдуга навпаки,Анаграми,False,3,ukr,10. L'arc-en-ciel
7,3,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
7,3,236,Певні відмінності,Анаграми,False,3,ukr,21. Distinguo
8,1,218,Лаконічно,Лаконічно,True,3,ukr,3. Litotes
8,1,223,Пророкування,Лаконічно,False,3,ukr,8. Pronostications
8,1,225,Райдуга навпаки,Лаконічно,False,3,ukr,10. L'arc-en-ciel
8,2,218,Лаконічно,Лаконічно,True,3,ukr,3. Litotes
8,2,223,Пророкування,Лаконічно,False,3,ukr,8. Pronostications
8,2,225,Райдуга навпаки,Лаконічно,False,3,ukr,10. L'arc-en-ciel
8,3,223,Пророкування,Лаконічно,False,3,ukr,8. Pronostications
8,3,225,Райдуга навпаки,Лаконічно,False,3,ukr,10. L'arc-en-ciel
8,3,218,Лаконічно,Лаконічно,True,3,ukr,3. Litotes
9,1,221,Несподіванки,Несподіванки,True,3,ukr,6. Surprises
9,1,227,Непевність,Непевність,True,3,ukr,12. Hésitations
9,2,221,Несподіванки,Несподіванки,True,3,ukr,6. Surprises
9,2,227,Непевність,Непевність,True,3,ukr,12. Hésitations
9,3,227,Непевність,Непевність,True,3,ukr,12. Hésitations
9,3,221,Несподіванки,Несподіванки,True,3,ukr,6. Surprises
10,1,236,Певні відмінності,Анаграми,False,3,ukr,21. Distinguo
10,1,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
10,1,221,Несподіванки,Несподіванки,True,3,ukr,6. Surprises
10,2,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
10,2,221,Несподіванки,Несподіванки,True,3,ukr,6. Surprises
10,2,236,Певні відмінності,Анаграми,False,3,ukr,21. Distinguo
10,3,221,Несподіванки,Несподіванки,True,3,ukr,6. Surprises
10,3,236,Певні відмінності,Анаграми,False,3,ukr,21. Distinguo
10,3,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
11,1,238,Офіційний лист,Офіційний лист,True,3,ukr,23. Lettre officielle
11,1,233,Заперечення,Певні відмінності,False,3,ukr,18. Négativités
11,1,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
11,2,233,Заперечення,Певні відмінності,False,3,ukr,18. Négativités
11,2,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
11,2,238,Офіційний лист,Офіційний лист,True,3,ukr,23. Lettre officielle
11,3,233,Заперечення,Певні відмінності,False,3,ukr,18. Négativités
11,3,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
11,3,238,Офіційний лист,Офіційний лист,True,3,ukr,23. Lettre officielle
12,1,228,Уточнення,Уточнення,True,3,ukr,13. Précisions
12,1,224,Синхиза,Синхиза,True,3,ukr,9. Synchyses
12,1,218,Лаконічно,Лаконічно,True,3,ukr,3. Litotes
12,2,224,Синхиза,Синхиза,True,3,ukr,9. Synchyses
12,2,228,Уточнення,Уточнення,True,3,ukr,13. Précisions
12,2,218,Лаконічно,Лаконічно,True,3,ukr,3. Litotes
12,3,228,Уточнення,Уточнення,True,3,ukr,13. Précisions
12,3,218,Лаконічно,Лаконічно,True,3,ukr,3. Litotes
12,3,224,Синхиза,Синхиза,True,3,ukr,9. Synchyses
13,1,228,Уточнення,Уточнення,True,3,ukr,13. Précisions
13,1,230,Інший суб’єктивний погляд,Інший суб’єктивний погляд,True,3,ukr,15. Autre subjectivité
13,1,236,Певні відмінності,Уточнення,False,3,ukr,21. Distinguo
13,2,228,Уточнення,Уточнення,True,3,ukr,13. Précisions
13,2,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
13,2,230,Інший суб’єктивний погляд,Інший суб’єктивний погляд,True,3,ukr,15. Autre subjectivité
13,3,230,Інший суб’єктивний погляд,Інший суб’єктивний погляд,True,3,ukr,15. Autre subjectivité
13,3,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
13,3,228,Уточнення,Уточнення,True,3,ukr,13. Précisions
14,1,234,Оживлення,Оживлення,True,3,ukr,19. Animiste
14,1,239,Видавнича анотація,Оживлення,False,3,ukr,24. Prière d'insérer
14,1,224,Синхиза,Синхиза,True,3,ukr,9. Synchyses
14,2,239,Видавнича анотація,Оживлення,False,3,ukr,24. Prière d'insérer
14,2,224,Синхиза,Оживлення,False,3,ukr,9. Synchyses
14,2,234,Оживлення,Оживлення,True,3,ukr,19. Animiste
14,3,234,Оживлення,Оживлення,True,3,ukr,19. Animiste
14,3,224,Синхиза,Оживлення,False,3,ukr,9. Synchyses
14,3,239,Видавнича анотація,Оживлення,False,3,ukr,24. Prière d'insérer
15,1,218,Лаконічно,Оповідь,False,3,ukr,3. Litotes
15,1,217,З подвоєнням,З подвоєнням,True,3,ukr,2. En partie double
15,1,231,Оповідь,З подвоєнням,False,3,ukr,16. Récit
15,2,218,Лаконічно,З подвоєнням,False,3,ukr,3. Litotes
15,2,231,Оповідь,З подвоєнням,False,3,ukr,16. Récit
15,2,217,З подвоєнням,З подвоєнням,True,3,ukr,2. En partie double
15,3,217,З подвоєнням,З подвоєнням,True,3,ukr,2. En partie double
15,3,231,Оповідь,З подвоєнням,False,3,ukr,16. Récit
15,3,218,Лаконічно,З подвоєнням,False,3,ukr,3. Litotes
16,1,218,Лаконічно,Лаконічно,True,3,ukr,3. Litotes
16,1,228,Уточнення,Уточнення,True,3,ukr,13. Précisions
16,2,228,Уточнення,Уточнення,True,3,ukr,13. Précisions
16,2,218,Лаконічно,Лаконічно,True,3,ukr,3. Litotes
16,3,218,Лаконічно,Лаконічно,True,3,ukr,3. Litotes
16,3,228,Уточнення,Уточнення,True,3,ukr,13. Précisions
17,1,239,Видавнича анотація,Видавнича анотація,True,3,ukr,24. Prière d'insérer
17,1,237,Гомеотелота,Гомеотелота,True,3,ukr,22. Homéoptotes (1947) / Homéotéleutes (1976)
17,1,219,Метафорично,Гомеотелота,False,3,ukr,4. Métaphoriquement
17,2,239,Видавнича анотація,Видавнича анотація,True,3,ukr,24. Prière d'insérer
17,2,219,Метафорично,Гомеотелота,False,3,ukr,4. Métaphoriquement
17,2,237,Гомеотелота,Гомеотелота,True,3,ukr,22. Homéoptotes (1947) / Homéotéleutes (1976)
17,3,239,Видавнича анотація,Видавнича анотація,True,3,ukr,24. Prière d'insérer
17,3,237,Гомеотелота,Гомеотелота,True,3,ukr,22. Homéoptotes (1947) / Homéotéleutes (1976)
17,3,219,Метафорично,Гомеотелота,False,3,ukr,4. Métaphoriquement
18,1,221,Несподіванки,Несподіванки,True,3,ukr,6. Surprises
18,1,216,Нотатки,Нотатки,True,3,ukr,1. Notations
18,1,230,Інший суб’єктивний погляд,Несподіванки,False,3,ukr,15. Autre subjectivité
18,2,230,Інший суб’єктивний погляд,Несподіванки,False,3,ukr,15. Autre subjectivité
18,2,221,Несподіванки,Несподіванки,True,3,ukr,6. Surprises
18,2,216,Нотатки,Інший суб’єктивний погляд,False,3,ukr,1. Notations
18,3,216,Нотатки,Інший суб’єктивний погляд,False,3,ukr,1. Notations
18,3,221,Несподіванки,Несподіванки,True,3,ukr,6. Surprises
18,3,230,Інший суб’єктивний погляд,Несподіванки,False,3,ukr,15. Autre subjectivité
19,1,225,Райдуга навпаки,Певні відмінності,False,3,ukr,10. L'arc-en-ciel
19,1,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
19,2,225,Райдуга навпаки,Райдуга навпаки,True,3,ukr,10. L'arc-en-ciel
19,2,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
19,3,225,Райдуга навпаки,Певні відмінності,False,3,ukr,10. L'arc-en-ciel
19,3,236,Певні відмінності,Певні відмінності,True,3,ukr,21. Distinguo
20,1,232,Словоскладення,Словоскладення,True,3,ukr,17. Composition de mots
20,1,216,Нотатки,Нотатки,True,3,ukr,1. Notations
20,1,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
20,2,232,Словоскладення,Словоскладення,True,3,ukr,17. Composition de mots
20,2,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
20,2,216,Нотатки,Нотатки,True,3,ukr,1. Notations
20,3,232,Словоскладення,Словоскладення,True,3,ukr,17. Composition de mots
20,3,235,Анаграми,Анаграми,True,3,ukr,20. Anagrammes
20,3,216,Нотатки,Нотатки,True,3,ukr,1. Notations
