Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,195,Figuurlijk,Figuurlijk,True,2,dut,4. Métaphoriquement
1,1,212,Onderscheid,Figuurlijk,False,2,dut,21. Distinguo
1,2,212,Onderscheid,Figuurlijk,False,2,dut,21. Distinguo
1,2,195,Figuurlijk,Figuurlijk,True,2,dut,4. Métaphoriquement
1,3,195,Figuurlijk,Figuurlijk,True,2,dut,4. Métaphoriquement
1,3,212,Onderscheid,Figuurlijk,False,2,dut,21. Distinguo
2,1,215,Flaptekst,Flaptekst,True,2,dut,24. Prière d'insérer
2,1,213,Homeoptoton,Flaptekst,False,2,dut,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,215,Flaptekst,Flaptekst,True,2,dut,24. Prière d'insérer
2,2,213,Homeoptoton,Flaptekst,False,2,dut,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,215,Flaptekst,Flaptekst,True,2,dut,24. Prière d'insérer
2,3,213,Homeoptoton,Flaptekst,False,2,dut,22. Homéoptotes (1947) / Homéotéleutes (1976)
3,1,199,Prognose,Prognose,True,2,dut,8. Pronostications
3,1,208,Woordsamenstellingen,Woordsamenstellingen,True,2,dut,17. Composition de mots
3,2,199,Prognose,Prognose,True,2,dut,8. Pronostications
3,2,208,Woordsamenstellingen,Woordsamenstellingen,True,2,dut,17. Composition de mots
3,3,208,Woordsamenstellingen,Woordsamenstellingen,True,2,dut,17. Composition de mots
3,3,199,Prognose,Prognose,True,2,dut,8. Pronostications
4,1,199,Prognose,Subjectief,False,2,dut,8. Pronostications
4,1,205,Subjectief,Subjectief,True,2,dut,14. Le côté subjectif
4,2,199,Prognose,Subjectief,False,2,dut,8. Pronostications
4,2,205,Subjectief,Subjectief,True,2,dut,14. Le côté subjectif
4,3,205,Subjectief,Subjectief,True,2,dut,14. Le côté subjectif
4,3,199,Prognose,Subjectief,False,2,dut,8. Pronostications
5,1,196,Achterstevoren,Synchysis,False,2,dut,5. Rétrograde
5,1,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
5,2,196,Achterstevoren,Synchysis,False,2,dut,5. Rétrograde
5,2,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
5,3,196,Achterstevoren,Synchysis,False,2,dut,5. Rétrograde
5,3,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
6,1,211,Anagrammen,Synchysis,False,2,dut,20. Anagrammes
6,1,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
6,2,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
6,2,211,Anagrammen,Synchysis,False,2,dut,20. Anagrammes
6,3,211,Anagrammen,Synchysis,False,2,dut,20. Anagrammes
6,3,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
7,1,212,Onderscheid,Onderscheid,True,2,dut,21. Distinguo
7,1,201,Regenboog,Regenboog,True,2,dut,10. L'arc-en-ciel
7,2,201,Regenboog,Regenboog,True,2,dut,10. L'arc-en-ciel
7,2,212,Onderscheid,Onderscheid,True,2,dut,21. Distinguo
7,3,201,Regenboog,Regenboog,True,2,dut,10. L'arc-en-ciel
7,3,212,Onderscheid,Onderscheid,True,2,dut,21. Distinguo
8,1,201,Regenboog,Regenboog,True,2,dut,10. L'arc-en-ciel
8,1,199,Prognose,Prognose,True,2,dut,8. Pronostications
8,2,199,Prognose,Prognose,True,2,dut,8. Pronostications
8,2,201,Regenboog,Regenboog,True,2,dut,10. L'arc-en-ciel
8,3,201,Regenboog,Regenboog,True,2,dut,10. L'arc-en-ciel
8,3,199,Prognose,Prognose,True,2,dut,8. Pronostications
9,1,203,Aarzelingen,Aarzelingen,True,2,dut,12. Hésitations
9,1,197,Verassingen,Aarzelingen,False,2,dut,6. Surprises
9,2,203,Aarzelingen,Aarzelingen,True,2,dut,12. Hésitations
9,2,197,Verassingen,Aarzelingen,False,2,dut,6. Surprises
9,3,197,Verassingen,Aarzelingen,False,2,dut,6. Surprises
9,3,203,Aarzelingen,Aarzelingen,True,2,dut,12. Hésitations
10,1,212,Onderscheid,Anagrammen,False,2,dut,21. Distinguo
10,1,211,Anagrammen,Anagrammen,True,2,dut,20. Anagrammes
10,2,211,Anagrammen,Anagrammen,True,2,dut,20. Anagrammes
10,2,212,Onderscheid,Anagrammen,False,2,dut,21. Distinguo
10,3,211,Anagrammen,Anagrammen,True,2,dut,20. Anagrammes
10,3,212,Onderscheid,Anagrammen,False,2,dut,21. Distinguo
11,1,212,Onderscheid,Onderscheid,True,2,dut,21. Distinguo
11,1,214,Officieel schrijven,Officieel schrijven,True,2,dut,23. Lettre officielle
11,2,214,Officieel schrijven,Officieel schrijven,True,2,dut,23. Lettre officielle
11,2,212,Onderscheid,Onderscheid,True,2,dut,21. Distinguo
11,3,212,Onderscheid,Onderscheid,True,2,dut,21. Distinguo
11,3,214,Officieel schrijven,Officieel schrijven,True,2,dut,23. Lettre officielle
12,1,204,Bijzonderheden,Synchysis,False,2,dut,13. Précisions
12,1,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
12,2,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
12,2,204,Bijzonderheden,Synchysis,False,2,dut,13. Précisions
12,3,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
12,3,204,Bijzonderheden,Synchysis,False,2,dut,13. Précisions
13,1,212,Onderscheid,Bijzonderheden,False,2,dut,21. Distinguo
13,1,204,Bijzonderheden,Bijzonderheden,True,2,dut,13. Précisions
13,2,204,Bijzonderheden,Bijzonderheden,True,2,dut,13. Précisions
13,2,212,Onderscheid,Bijzonderheden,False,2,dut,21. Distinguo
13,3,212,Onderscheid,Bijzonderheden,False,2,dut,21. Distinguo
13,3,204,Bijzonderheden,Bijzonderheden,True,2,dut,13. Précisions
14,1,215,Flaptekst,Flaptekst,True,2,dut,24. Prière d'insérer
14,1,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
14,2,215,Flaptekst,Flaptekst,True,2,dut,24. Prière d'insérer
14,2,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
14,3,215,Flaptekst,Flaptekst,True,2,dut,24. Prière d'insérer
14,3,200,Synchysis,Synchysis,True,2,dut,9. Synchyses
15,1,194,Litotes,Relaas,False,2,dut,3. Litotes
15,1,207,Relaas,Relaas,True,2,dut,16. Récit
15,2,207,Relaas,Relaas,True,2,dut,16. Récit
15,2,194,Litotes,Relaas,False,2,dut,3. Litotes
15,3,207,Relaas,Relaas,True,2,dut,16. Récit
15,3,194,Litotes,Relaas,False,2,dut,3. Litotes
16,1,204,Bijzonderheden,Bijzonderheden,True,2,dut,13. Précisions
16,1,194,Litotes,Bijzonderheden,False,2,dut,3. Litotes
16,2,194,Litotes,Bijzonderheden,False,2,dut,3. Litotes
16,2,204,Bijzonderheden,Bijzonderheden,True,2,dut,13. Précisions
16,3,194,Litotes,Bijzonderheden,False,2,dut,3. Litotes
16,3,204,Bijzonderheden,Bijzonderheden,True,2,dut,13. Précisions
17,1,215,Flaptekst,Flaptekst,True,2,dut,24. Prière d'insérer
17,1,195,Figuurlijk,Figuurlijk,True,2,dut,4. Métaphoriquement
17,2,195,Figuurlijk,Figuurlijk,True,2,dut,4. Métaphoriquement
17,2,215,Flaptekst,Flaptekst,True,2,dut,24. Prière d'insérer
17,3,195,Figuurlijk,Figuurlijk,True,2,dut,4. Métaphoriquement
17,3,215,Flaptekst,Flaptekst,True,2,dut,24. Prière d'insérer
18,1,197,Verassingen,Ook subjectief,False,2,dut,6. Surprises
18,1,206,Ook subjectief,Ook subjectief,True,2,dut,15. Autre subjectivité
18,2,206,Ook subjectief,Ook subjectief,True,2,dut,15. Autre subjectivité
18,2,197,Verassingen,Ook subjectief,False,2,dut,6. Surprises
18,3,197,Verassingen,Ook subjectief,False,2,dut,6. Surprises
18,3,206,Ook subjectief,Ook subjectief,True,2,dut,15. Autre subjectivité
19,1,201,Regenboog,Regenboog,True,2,dut,10. L'arc-en-ciel
19,1,212,Onderscheid,Regenboog,False,2,dut,21. Distinguo
19,2,212,Onderscheid,Onderscheid,True,2,dut,21. Distinguo
19,2,201,Regenboog,Regenboog,True,2,dut,10. L'arc-en-ciel
19,3,201,Regenboog,Regenboog,True,2,dut,10. L'arc-en-ciel
19,3,212,Onderscheid,Onderscheid,True,2,dut,21. Distinguo
20,1,208,Woordsamenstellingen,Woordsamenstellingen,True,2,dut,17. Composition de mots
20,1,192,Notaties,Woordsamenstellingen,False,2,dut,1. Notations
20,2,192,Notaties,Woordsamenstellingen,False,2,dut,1. Notations
20,2,208,Woordsamenstellingen,Woordsamenstellingen,True,2,dut,17. Composition de mots
20,3,192,Notaties,Woordsamenstellingen,False,2,dut,1. Notations
20,3,208,Woordsamenstellingen,Woordsamenstellingen,True,2,dut,17. Composition de mots
