Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,143,Recenzija izdavača,Recenzija izdavača,True,7,srp,24. Prière d'insérer
1,1,127,Proricanje,Beleška,False,7,srp,8. Pronostications
1,1,128,Šizički,Distingvo,False,7,srp,9. Synchyses
1,1,120,Beleška,Beleška,True,7,srp,1. Notations
1,1,140,Distingvo,Šizički,False,7,srp,21. Distinguo
1,1,123,Metaforično,Metaforično,True,7,srp,4. Métaphoriquement
1,2,120,Beleška,Beleška,True,7,srp,1. Notations
1,2,128,Šizički,Distingvo,False,7,srp,9. Synchyses
1,2,123,Metaforično,Metaforično,True,7,srp,4. Métaphoriquement
1,2,140,Distingvo,Šizički,False,7,srp,21. Distinguo
1,2,127,Proricanje,Beleška,False,7,srp,8. Pronostications
1,2,143,Recenzija izdavača,Recenzija izdavača,True,7,srp,24. Prière d'insérer
1,3,143,Recenzija izdavača,Recenzija izdavača,True,7,srp,24. Prière d'insérer
1,3,128,Šizički,Distingvo,False,7,srp,9. Synchyses
1,3,120,Beleška,Beleška,True,7,srp,1. Notations
1,3,127,Proricanje,Beleška,False,7,srp,8. Pronostications
1,3,123,Metaforično,Metaforično,True,7,srp,4. Métaphoriquement
1,3,140,Distingvo,Šizički,False,7,srp,21. Distinguo
2,1,141,Homeoptote ili Cica-mica,Homeoptote ili Cica-mica,True,7,srp,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,121,Dvostruko,Subjektivan stav,False,7,srp,2. En partie double
2,1,143,Recenzija izdavača,Recenzija izdavača,True,7,srp,24. Prière d'insérer
2,1,137,Negacije,Negacije,True,7,srp,18. Négativités
2,1,133,Subjektivan stav,Subjektivan stav,True,7,srp,14. Le côté subjectif
2,1,122,Litote,Animizam,False,7,srp,3. Litotes
2,1,138,Animizam,Animizam,True,7,srp,19. Animiste
2,2,143,Recenzija izdavača,Recenzija izdavača,True,7,srp,24. Prière d'insérer
2,2,141,Homeoptote ili Cica-mica,Homeoptote ili Cica-mica,True,7,srp,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,137,Negacije,Negacije,True,7,srp,18. Négativités
2,2,122,Litote,Animizam,False,7,srp,3. Litotes
2,2,121,Dvostruko,Subjektivan stav,False,7,srp,2. En partie double
2,2,138,Animizam,Animizam,True,7,srp,19. Animiste
2,2,133,Subjektivan stav,Animizam,False,7,srp,14. Le côté subjectif
2,3,122,Litote,Animizam,False,7,srp,3. Litotes
2,3,121,Dvostruko,Subjektivan stav,False,7,srp,2. En partie double
2,3,141,Homeoptote ili Cica-mica,Homeoptote ili Cica-mica,True,7,srp,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,137,Negacije,Negacije,True,7,srp,18. Négativités
2,3,138,Animizam,Animizam,True,7,srp,19. Animiste
2,3,133,Subjektivan stav,Animizam,False,7,srp,14. Le côté subjectif
2,3,143,Recenzija izdavača,Recenzija izdavača,True,7,srp,24. Prière d'insérer
3,1,136,Građenje reči,Građenje reči,True,7,srp,17. Composition de mots
3,1,127,Proricanje,Beleška,False,7,srp,8. Pronostications
3,1,139,Anagrami,Građenje reči,False,7,srp,20. Anagrammes
3,1,120,Beleška,Beleška,True,7,srp,1. Notations
3,1,142,Zvaničan izveštaj,Zvaničan izveštaj,True,7,srp,23. Lettre officielle
