Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,92,Distinguo,Sinchisi,False,6,ita,21. Distinguo
1,1,72,Notazioni,Notazioni,True,6,ita,1. Notations
1,1,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
1,1,79,Pronostici,Sinchisi,False,6,ita,8. Pronostications
1,1,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
1,1,75,Metaforicamente,Metaforicamente,True,6,ita,4. Métaphoriquement
1,2,75,Metaforicamente,Metaforicamente,True,6,ita,4. Métaphoriquement
1,2,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
1,2,92,Distinguo,Sinchisi,False,6,ita,21. Distinguo
1,2,79,Pronostici,Sinchisi,False,6,ita,8. Pronostications
1,2,72,Notazioni,Notazioni,True,6,ita,1. Notations
1,2,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
1,3,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
1,3,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
1,3,72,Notazioni,Notazioni,True,6,ita,1. Notations
1,3,75,Metaforicamente,Metaforicamente,True,6,ita,4. Métaphoriquement
1,3,92,Distinguo,Sinchisi,False,6,ita,21. Distinguo
1,3,79,Pronostici,Distinguo,False,6,ita,8. Pronostications
2,1,89,Negatività,Omoteleuti,False,6,ita,18. Négativités
2,1,74,Litoti,Aspetto soggettivo I,False,6,ita,3. Litotes
2,1,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
2,1,93,Omoteleuti,Omoteleuti,True,6,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,90,Animismo,Animismo,True,6,ita,19. Animiste
2,1,85,Aspetto soggettivo I,Aspetto soggettivo I,True,6,ita,14. Le côté subjectif
2,2,89,Negatività,Aspetto soggettivo I,False,6,ita,18. Négativités
2,2,85,Aspetto soggettivo I,Aspetto soggettivo I,True,6,ita,14. Le côté subjectif
2,2,74,Litoti,Aspetto soggettivo I,False,6,ita,3. Litotes
2,2,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
2,2,90,Animismo,Animismo,True,6,ita,19. Animiste
2,2,93,Omoteleuti,Omoteleuti,True,6,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,85,Aspetto soggettivo I,Aspetto soggettivo I,True,6,ita,14. Le côté subjectif
2,3,89,Negatività,Aspetto soggettivo I,False,6,ita,18. Négativités
2,3,74,Litoti,Aspetto soggettivo I,False,6,ita,3. Litotes
2,3,93,Omoteleuti,Omoteleuti,True,6,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
2,3,90,Animismo,Animismo,True,6,ita,19. Animiste
3,1,88,Parole composte,Parole composte,True,6,ita,17. Composition de mots
3,1,78,Sogno,Sogno,True,6,ita,7. Rêve
3,1,91,Anagrammi,Parole composte,False,6,ita,20. Anagrammes
3,1,89,Negatività,Parole composte,False,6,ita,18. Négativités
3,1,79,Pronostici,Pronostici,True,6,ita,8. Pronostications
3,1,72,Notazioni,Notazioni,True,6,ita,1. Notations
3,2,88,Parole composte,Parole composte,True,6,ita,17. Composition de mots
3,2,91,Anagrammi,Parole composte,False,6,ita,20. Anagrammes
3,2,78,Sogno,Sogno,True,6,ita,7. Rêve
3,2,79,Pronostici,Pronostici,True,6,ita,8. Pronostications
3,2,89,Negatività,Parole composte,False,6,ita,18. Négativités
3,2,72,Notazioni,Notazioni,True,6,ita,1. Notations
3,3,72,Notazioni,Notazioni,True,6,ita,1. Notations
3,3,89,Negatività,Parole composte,False,6,ita,18. Négativités
3,3,88,Parole composte,Parole composte,True,6,ita,17. Composition de mots
3,3,79,Pronostici,Pronostici,True,6,ita,8. Pronostications
3,3,91,Anagrammi,Parole composte,False,6,ita,20. Anagrammes
3,3,78,Sogno,Sogno,True,6,ita,7. Rêve
4,1,86,Altro aspetto soggettivo,Aspetto soggettivo I,False,6,ita,15. Autre subjectivité
4,1,80,Sinchisi,Aspetto soggettivo I,False,6,ita,9. Synchyses
4,1,85,Aspetto soggettivo I,Aspetto soggettivo I,True,6,ita,14. Le côté subjectif
4,1,90,Animismo,Animismo,True,6,ita,19. Animiste
4,1,79,Pronostici,Aspetto soggettivo I,False,6,ita,8. Pronostications
4,1,72,Notazioni,Aspetto soggettivo I,False,6,ita,1. Notations
4,2,90,Animismo,Animismo,True,6,ita,19. Animiste
4,2,72,Notazioni,Aspetto soggettivo I,False,6,ita,1. Notations
4,2,85,Aspetto soggettivo I,Aspetto soggettivo I,True,6,ita,14. Le côté subjectif
4,2,80,Sinchisi,Aspetto soggettivo I,False,6,ita,9. Synchyses
4,2,86,Altro aspetto soggettivo,Aspetto soggettivo I,False,6,ita,15. Autre subjectivité
4,2,79,Pronostici,Aspetto soggettivo I,False,6,ita,8. Pronostications
4,3,72,Notazioni,Aspetto soggettivo I,False,6,ita,1. Notations
4,3,90,Animismo,Animismo,True,6,ita,19. Animiste
4,3,85,Aspetto soggettivo I,Aspetto soggettivo I,True,6,ita,14. Le côté subjectif
4,3,80,Sinchisi,Aspetto soggettivo I,False,6,ita,9. Synchyses
4,3,86,Altro aspetto soggettivo,Aspetto soggettivo I,False,6,ita,15. Autre subjectivité
4,3,79,Pronostici,Aspetto soggettivo I,False,6,ita,8. Pronostications
5,1,75,Metaforicamente,Metaforicamente,True,6,ita,4. Métaphoriquement
5,1,76,Retrogrado,Retrogrado,True,6,ita,5. Rétrograde
5,1,78,Sogno,Sogno,True,6,ita,7. Rêve
5,1,82,Logo-rallye,Logo-rallye,True,6,ita,11. Logo-rallye
5,1,74,Litoti,Retrogrado,False,6,ita,3. Litotes
5,1,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
5,2,78,Sogno,Sogno,True,6,ita,7. Rêve
5,2,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
5,2,82,Logo-rallye,Logo-rallye,True,6,ita,11. Logo-rallye
5,2,74,Litoti,Retrogrado,False,6,ita,3. Litotes
5,2,76,Retrogrado,Retrogrado,True,6,ita,5. Rétrograde
5,2,75,Metaforicamente,Metaforicamente,True,6,ita,4. Métaphoriquement
5,3,82,Logo-rallye,Logo-rallye,True,6,ita,11. Logo-rallye
5,3,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
5,3,74,Litoti,Retrogrado,False,6,ita,3. Litotes
5,3,76,Retrogrado,Retrogrado,True,6,ita,5. Rétrograde
5,3,75,Metaforicamente,Metaforicamente,True,6,ita,4. Métaphoriquement
5,3,78,Sogno,Sogno,True,6,ita,7. Rêve
6,1,89,Negatività,Sinchisi,False,6,ita,18. Négativités
6,1,73,Partita doppia,Altro aspetto soggettivo,False,6,ita,2. En partie double
6,1,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
6,1,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
6,1,86,Altro aspetto soggettivo,Altro aspetto soggettivo,True,6,ita,15. Autre subjectivité
6,1,91,Anagrammi,Sinchisi,False,6,ita,20. Anagrammes
6,2,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
6,2,73,Partita doppia,Sinchisi,False,6,ita,2. En partie double
6,2,89,Negatività,Sinchisi,False,6,ita,18. Négativités
6,2,91,Anagrammi,Sinchisi,False,6,ita,20. Anagrammes
6,2,86,Altro aspetto soggettivo,Negatività,False,6,ita,15. Autre subjectivité
6,2,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
6,3,86,Altro aspetto soggettivo,Negatività,False,6,ita,15. Autre subjectivité
6,3,73,Partita doppia,Sinchisi,False,6,ita,2. En partie double
6,3,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
6,3,89,Negatività,Sinchisi,False,6,ita,18. Négativités
6,3,91,Anagrammi,Sinchisi,False,6,ita,20. Anagrammes
6,3,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
7,1,81,Arcobaleno,Esitazioni,False,6,ita,10. L'arc-en-ciel
7,1,83,Esitazioni,Esitazioni,True,6,ita,12. Hésitations
7,1,78,Sogno,Sogno,True,6,ita,7. Rêve
7,1,92,Distinguo,Animismo,False,6,ita,21. Distinguo
7,1,90,Animismo,Animismo,True,6,ita,19. Animiste
7,1,91,Anagrammi,Anagrammi,True,6,ita,20. Anagrammes
7,2,83,Esitazioni,Esitazioni,True,6,ita,12. Hésitations
7,2,90,Animismo,Animismo,True,6,ita,19. Animiste
7,2,92,Distinguo,Animismo,False,6,ita,21. Distinguo
7,2,78,Sogno,Sogno,True,6,ita,7. Rêve
7,2,91,Anagrammi,Anagrammi,True,6,ita,20. Anagrammes
7,2,81,Arcobaleno,Esitazioni,False,6,ita,10. L'arc-en-ciel
7,3,90,Animismo,Animismo,True,6,ita,19. Animiste
7,3,92,Distinguo,Animismo,False,6,ita,21. Distinguo
7,3,81,Arcobaleno,Esitazioni,False,6,ita,10. L'arc-en-ciel
7,3,91,Anagrammi,Anagrammi,True,6,ita,20. Anagrammes
7,3,78,Sogno,Sogno,True,6,ita,7. Rêve
7,3,83,Esitazioni,Esitazioni,True,6,ita,12. Hésitations
8,1,75,Metaforicamente,Litoti,False,6,ita,4. Métaphoriquement
8,1,74,Litoti,Litoti,True,6,ita,3. Litotes
8,1,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
8,1,81,Arcobaleno,Litoti,False,6,ita,10. L'arc-en-ciel
8,1,79,Pronostici,Litoti,False,6,ita,8. Pronostications
8,2,79,Pronostici,Litoti,False,6,ita,8. Pronostications
8,2,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
8,2,74,Litoti,Litoti,True,6,ita,3. Litotes
8,2,81,Arcobaleno,Litoti,False,6,ita,10. L'arc-en-ciel
8,2,75,Metaforicamente,Litoti,False,6,ita,4. Métaphoriquement
8,3,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
8,3,74,Litoti,Litoti,True,6,ita,3. Litotes
8,3,81,Arcobaleno,Litoti,False,6,ita,10. L'arc-en-ciel
8,3,75,Metaforicamente,Litoti,False,6,ita,4. Métaphoriquement
8,3,79,Pronostici,Litoti,False,6,ita,8. Pronostications
9,1,93,Omoteleuti,Omoteleuti,True,6,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
9,1,77,Sorprese,Sorprese,True,6,ita,6. Surprises
9,1,83,Esitazioni,Esitazioni,True,6,ita,12. Hésitations
9,1,80,Sinchisi,Esitazioni,False,6,ita,9. Synchyses
9,1,78,Sogno,Sogno,True,6,ita,7. Rêve
9,2,93,Omoteleuti,Omoteleuti,True,6,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
9,2,77,Sorprese,Sorprese,True,6,ita,6. Surprises
9,2,83,Esitazioni,Esitazioni,True,6,ita,12. Hésitations
9,2,80,Sinchisi,Esitazioni,False,6,ita,9. Synchyses
9,2,78,Sogno,Sogno,True,6,ita,7. Rêve
9,3,93,Omoteleuti,Omoteleuti,True,6,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
9,3,77,Sorprese,Sorprese,True,6,ita,6. Surprises
9,3,78,Sogno,Sogno,True,6,ita,7. Rêve
9,3,83,Esitazioni,Esitazioni,True,6,ita,12. Hésitations
9,3,80,Sinchisi,Sinchisi,True,6,ita,9. Synchyses
10,1,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
10,1,91,Anagrammi,Anagrammi,True,6,ita,20. Anagrammes
10,1,89,Negatività,Anagrammi,False,6,ita,18. Négativités
10,1,92,Distinguo,Sorprese,False,6,ita,21. Distinguo
10,1,79,Pronostici,Sorprese,False,6,ita,8. Pronostications
10,1,77,Sorprese,Sorprese,True,6,ita,6. Surprises
10,2,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
10,2,77,Sorprese,Sorprese,True,6,ita,6. Surprises
10,2,91,Anagrammi,Anagrammi,True,6,ita,20. Anagrammes
10,2,89,Negatività,Anagrammi,False,6,ita,18. Négativités
10,2,79,Pronostici,Sorprese,False,6,ita,8. Pronostications
10,2,92,Distinguo,Sorprese,False,6,ita,21. Distinguo
10,3,92,Distinguo,Sorprese,False,6,ita,21. Distinguo
10,3,91,Anagrammi,Anagrammi,True,6,ita,20. Anagrammes
10,3,89,Negatività,Anagrammi,False,6,ita,18. Négativités
10,3,79,Pronostici,Sorprese,False,6,ita,8. Pronostications
10,3,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
10,3,77,Sorprese,Sorprese,True,6,ita,6. Surprises
11,1,79,Pronostici,Distinguo,False,6,ita,8. Pronostications
11,1,92,Distinguo,Omoteleuti,False,6,ita,21. Distinguo
11,1,89,Negatività,Omoteleuti,False,6,ita,18. Négativités
11,1,94,Lettera ufficiale,Lettera ufficiale,True,6,ita,23. Lettre officielle
11,1,82,Logo-rallye,Logo-rallye,True,6,ita,11. Logo-rallye
11,1,93,Omoteleuti,Omoteleuti,True,6,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
11,2,79,Pronostici,Distinguo,False,6,ita,8. Pronostications
11,2,92,Distinguo,Omoteleuti,False,6,ita,21. Distinguo
11,2,82,Logo-rallye,Logo-rallye,True,6,ita,11. Logo-rallye
11,2,94,Lettera ufficiale,Lettera ufficiale,True,6,ita,23. Lettre officielle
11,2,89,Negatività,Omoteleuti,False,6,ita,18. Négativités
11,2,93,Omoteleuti,Omoteleuti,True,6,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
11,3,92,Distinguo,Omoteleuti,False,6,ita,21. Distinguo
11,3,94,Lettera ufficiale,Lettera ufficiale,True,6,ita,23. Lettre officielle
11,3,82,Logo-rallye,Logo-rallye,True,6,ita,11. Logo-rallye
11,3,89,Negatività,Omoteleuti,False,6,ita,18. Négativités
11,3,93,Omoteleuti,Omoteleuti,True,6,ita,22. Homéoptotes (1947) / Homéotéleutes (1976)
11,3,79,Pronostici,Distinguo,False,6,ita,8. Pronostications
12,1,90,Animismo,Animismo,True,6,ita,19. Animiste
12,1,78,Sogno,Sogno,True,6,ita,7. Rêve
12,1,80,Sinchisi,Animismo,False,6,ita,9. Synchyses
12,1,94,Lettera ufficiale,Lettera ufficiale,True,6,ita,23. Lettre officielle
12,1,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
12,1,74,Litoti,Animismo,False,6,ita,3. Litotes
12,2,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
12,2,74,Litoti,Litoti,True,6,ita,3. Litotes
12,2,94,Lettera ufficiale,Lettera ufficiale,True,6,ita,23. Lettre officielle
12,2,78,Sogno,Sogno,True,6,ita,7. Rêve
12,2,80,Sinchisi,Animismo,False,6,ita,9. Synchyses
12,2,90,Animismo,Animismo,True,6,ita,19. Animiste
12,3,94,Lettera ufficiale,Lettera ufficiale,True,6,ita,23. Lettre officielle
12,3,74,Litoti,Animismo,False,6,ita,3. Litotes
12,3,78,Sogno,Sogno,True,6,ita,7. Rêve
12,3,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
12,3,90,Animismo,Animismo,True,6,ita,19. Animiste
12,3,80,Sinchisi,Animismo,False,6,ita,9. Synchyses
13,1,86,Altro aspetto soggettivo,Altro aspetto soggettivo,True,6,ita,15. Autre subjectivité
13,1,92,Distinguo,Retrogrado,False,6,ita,21. Distinguo
13,1,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
13,1,76,Retrogrado,Retrogrado,True,6,ita,5. Rétrograde
13,1,80,Sinchisi,Retrogrado,False,6,ita,9. Synchyses
13,2,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
13,2,76,Retrogrado,Retrogrado,True,6,ita,5. Rétrograde
13,2,80,Sinchisi,Retrogrado,False,6,ita,9. Synchyses
13,2,92,Distinguo,Retrogrado,False,6,ita,21. Distinguo
13,2,86,Altro aspetto soggettivo,Altro aspetto soggettivo,True,6,ita,15. Autre subjectivité
13,3,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
13,3,76,Retrogrado,Retrogrado,True,6,ita,5. Rétrograde
13,3,86,Altro aspetto soggettivo,Altro aspetto soggettivo,True,6,ita,15. Autre subjectivité
13,3,92,Distinguo,Retrogrado,False,6,ita,21. Distinguo
13,3,80,Sinchisi,Retrogrado,False,6,ita,9. Synchyses
14,1,90,Animismo,Animismo,True,6,ita,19. Animiste
14,1,84,Precisazioni,Aspetto soggettivo I,False,6,ita,13. Précisions
14,1,80,Sinchisi,Aspetto soggettivo I,False,6,ita,9. Synchyses
14,1,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
14,1,85,Aspetto soggettivo I,Aspetto soggettivo I,True,6,ita,14. Le côté subjectif
14,2,85,Aspetto soggettivo I,Aspetto soggettivo I,True,6,ita,14. Le côté subjectif
14,2,84,Precisazioni,Aspetto soggettivo I,False,6,ita,13. Précisions
14,2,80,Sinchisi,Aspetto soggettivo I,False,6,ita,9. Synchyses
14,2,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
14,2,90,Animismo,Animismo,True,6,ita,19. Animiste
14,3,85,Aspetto soggettivo I,Aspetto soggettivo I,True,6,ita,14. Le côté subjectif
14,3,84,Precisazioni,Aspetto soggettivo I,False,6,ita,13. Précisions
14,3,95,Comunicato stampa,Comunicato stampa,True,6,ita,24. Prière d'insérer
14,3,80,Sinchisi,Aspetto soggettivo I,False,6,ita,9. Synchyses
14,3,90,Animismo,Animismo,True,6,ita,19. Animiste
15,1,75,Metaforicamente,Metaforicamente,True,6,ita,4. Métaphoriquement
15,1,92,Distinguo,Distinguo,True,6,ita,21. Distinguo
15,1,74,Litoti,Retrogrado,False,6,ita,3. Litotes
15,1,76,Retrogrado,Retrogrado,True,6,ita,5. Rétrograde
15,1,87,Svolgimento,Distinguo,False,6,ita,16. Récit
15,1,73,Partita doppia,Retrogrado,False,6,ita,2. En partie double
15,2,87,Svolgimento,Distinguo,False,6,ita,16. Récit
15,2,76,Retrogrado,Retrogrado,True,6,ita,5. Rétrograde
15,2,92,Distinguo,Distinguo,True,6,ita,21. Distinguo
15,2,75,Metaforicamente,Metaforicamente,True,6,ita,4. Métaphoriquement
15,2,73,Partita doppia,Retrogrado,False,6,ita,2. En partie double
15,2,74,Litoti,Retrogrado,False,6,ita,3. Litotes
15,3,74,Litoti,Retrogrado,False,6,ita,3. Litotes
15,3,92,Distinguo,Distinguo,True,6,ita,21. Distinguo
15,3,73,Partita doppia,Retrogrado,False,6,ita,2. En partie double
15,3,75,Metaforicamente,Metaforicamente,True,6,ita,4. Métaphoriquement
15,3,87,Svolgimento,Retrogrado,False,6,ita,16. Récit
15,3,76,Retrogrado,Retrogrado,True,6,ita,5. Rétrograde
16,1,74,Litoti,Litoti,True,6,ita,3. Litotes
16,1,84,Precisazioni,Precisazioni,True,6,ita,13. Précisions
16,1,88,Parole composte,Parole composte,True,6,ita,17. Composition de mots
16,1,86,Altro aspetto soggettivo,Litoti,False,6,ita,15. Autre subjectivité
16,1,91,Anagrammi,Parole composte,False,6,ita,20. Anagrammes
16,2,86,Altro aspetto soggettivo,Litoti,False,6,ita,15. Autre subjectivité
