Experiment,Story Index,True Label,Predicted Label,Correct,Label Space Size
1,49,awkward,parechesis,False,11
1,66,gallicisms,gallicisms,True,11
1,38,exclamations,exclamations,True,11
1,75,back slang,olfactory,False,11
1,53,olfactory,awkward,False,11
1,33,polyptotes,back slang,False,11
1,62,reactionary,biased,False,11
1,63,haiku,haiku,True,11
1,45,parechesis,polyptotes,False,11
1,5,surprises,surprises,True,11
1,51,biased,reactionary,False,11
2,32,alexandrines,femininity,False,11
2,80,for ze Frrensh,for ze French,False,11
2,18,minimism,precision,False,11
2,91,mathematical,mathematical,True,11
2,65,feminine,negativities,False,11
2,17,negativities,syncope,False,11
2,69,paragoge,alexandrines,False,11
2,78,more or less,paragoge,False,11
2,27,ignorance,more or less,False,11
2,12,precision,minimism,False,11
3,42,cross-examination,cross-examination,True,11
3,88,modern style,modern style,True,11
3,39,you know,you know,True,11
3,94,precious,noble,False,11
3,55,tactile,tactile,True,11
4,33,polyptotes,polyptotes,True,11
4,79,opera English,opera English,True,11
4,11,hesitation,hesitation,True,11
4,82,botanical,botanical,True,11
4,62,reactionary,reactionary,True,11
4,7,prognostication,metathesis,False,11
4,67,prosthesis,prosthesis,True,11
4,71,metathesis,double entry,False,11
4,26,insistence,prognostication,False,11
4,1,double entry,insistence,False,11
4,56,visual,visual,True,11
5,64,free verse,free verse,True,11
5,93,interjections,interjections,True,11
5,42,cross-examination,cross-examination,True,11
5,94,precious,opera English,False,11
5,81,spoonerisms,spoonerisms,True,11
5,31,passive,passive,True,11
5,86,zoological,zoological,True,11
5,91,mathematical,mathematical,True,11
5,51,biased,biased,True,11
5,0,notation,precious,False,11
6,28,past,reported speech,False,11
6,73,proper names,synchysis,False,11
6,18,minimism,minimism,True,11
6,91,mathematical,mathematical,True,11
6,41,cockney,cockney,True,11
6,11,hesitation,hesitation,True,11
6,57,auditory,auditory,True,11
6,70,parts of speech,parts of speech,True,11
6,24,onomatopoeia,onomatopoeia,True,11
6,8,synchysis,proper names,False,11
6,30,reported speech,past,False,11
7,38,exclamations,exclamations,True,11
7,71,metathesis,metathesis,True,11
7,15,narrative,narrative,True,11
7,91,mathematical,mathematical,True,11
7,42,cross-examination,cross-examination,True,11
7,13,the subjective side,speaking personally,False,11
7,63,haiku,haiku,True,11
7,66,gallicisms,gallicisms,True,11
7,37,speaking personally,the subjective side,False,11
7,10,word game,noble,False,11
7,40,noble,word game,False,11
8,49,awkward,hesitation,False,11
8,77,dog latin,dog latin,True,11
8,36,syncope,syncope,True,11
8,78,more or less,more or less,True,11
8,70,parts of speech,parts of speech,True,11
8,26,insistence,noble,False,11
8,71,metathesis,awkward,False,11
8,76,antiphrasis,antiphrasis,True,11
8,40,noble,visual,False,11
8,11,hesitation,metathesis,False,11
8,56,visual,insistence,False,11
9,30,reported speech,reported speech,True,11
9,79,opera English,opera English,True,11
9,23,blurb,blurb,True,11
9,85,gastronomical,gastronomical,True,11
9,37,speaking personally,speaking personally,True,11
9,8,synchysis,synchysis,True,11
9,61,hellenisms,hellenisms,True,11
9,74,rhyming slang,rhyming slang,True,11
9,24,onomatopoeia,onomatopoeia,True,11
9,4,retrograde,retrograde,True,11
10,19,anagrams,anagrams,True,11
10,90,portrait,portrait,True,11
10,11,hesitation,parts of speech,False,11
10,91,mathematical,mathematical,True,11
10,70,parts of speech,retrograde,False,11
10,10,word game,futile,False,11
10,87,futile,casual,False,11
10,88,modern style,modern style,True,11
10,16,word-composition,word-composition,True,11
10,4,retrograde,hesitation,False,11
10,50,casual,word game,False,11
11,57,auditory,auditory,True,11
11,76,antiphrasis,olfactory,False,11
11,35,apocope,epenthesis,False,11
11,87,futile,reported speech,False,11
11,67,prosthesis,back slang,False,11
11,30,reported speech,ignorance,False,11
11,68,epenthesis,futile,False,11
11,75,back slang,prosthesis,False,11
11,53,olfactory,antiphrasis,False,11
11,27,ignorance,apocope,False,11
12,63,haiku,haiku,True,11
12,85,gastronomical,gastronomical,True,11
12,41,cockney,cockney,True,11
12,90,portrait,portrait,True,11
12,79,opera English,opera English,True,11
12,14,another subjectivity,another subjectivity,True,11
12,81,spoonerisms,parechesis,False,11
12,83,medical,medical,True,11
12,45,parechesis,spoonerisms,False,11
12,10,word game,antiphrasis,False,11
12,76,antiphrasis,word game,False,11
13,28,past,another subjectivity,False,11
13,91,mathematical,mathematical,True,11
13,21,omeoptotes,litotes,False,11
13,94,precious,precious,True,11
13,34,apheresis,apheresis,True,11
13,14,another subjectivity,cross-examination,False,11
13,42,cross-examination,onomatopoeia,False,11
13,47,philosophic,philosophic,True,11
13,24,onomatopoeia,omeoptotes,False,11
13,2,litotes,past,False,11
14,28,past,portrait,False,11
14,82,botanical,botanical,True,11
14,12,precision,precision,True,11
14,90,portrait,minimism,False,11
14,54,gustatory,gustatory,True,11
14,7,prognostication,surprises,False,11
14,69,paragoge,rhyming slang,False,11
14,74,rhyming slang,paragoge,False,11
14,18,minimism,cross-examination,False,11
14,5,surprises,prognostication,False,11
15,24,onomatopoeia,onomatopoeia,True,11
15,82,botanical,botanical,True,11
15,11,hesitation,casual,False,11
15,88,modern style,narrative,False,11
15,50,casual,more or less,False,11
15,9,the rainbow,modern style,False,11
15,74,rhyming slang,rhyming slang,True,11
15,78,more or less,hesitation,False,11
15,15,narrative,the rainbow,False,11
15,3,metaphorically,metaphorically,True,11
15,47,philosophic,philosophic,True,11
16,23,blurb,blurb,True,11
16,92,west indian,west indian,True,11
16,14,another subjectivity,reactionary,False,11
16,94,precious,precious,True,11
16,26,insistence,more or less,False,11
16,4,retrograde,another subjectivity,False,11
16,62,reactionary,litotes,False,11
16,78,more or less,onomatopoeia,False,11
16,15,narrative,narrative,True,11
16,2,litotes,insistence,False,11
16,24,onomatopoeia,retrograde,False,11
17,12,precision,precision,True,11
17,80,for ze Frrensh,for ze Frrensh,True,11
17,8,synchysis,futile,False,11
17,87,futile,the rainbow,False,11
17,33,polyptotes,gustatory,False,11
17,7,prognostication,synchysis,False,11
17,54,gustatory,gustatory,True,11
17,70,parts of speech,parts of speech,True,11
17,9,the rainbow,polyptotes,False,11
17,2,litotes,past,False,11
17,28,past,litotes,False,11
18,38,exclamations,exclamations,True,11
18,77,dog latin,dog latin,True,11
18,12,precision,precision,True,11
18,83,medical,medical,True,11
18,55,tactile,tactile,True,11
18,7,prognostication,feminine,False,11
18,60,O,asides,False,11
18,65,feminine,blurb,False,11
18,23,blurb,prognostication,False,11
18,5,surprises,surprises,True,11
19,45,parechesis,parechesis,True,11
19,90,portrait,precious,False,11
19,26,insistence,portrait,False,11
19,94,precious,casual,False,11
19,61,hellenisms,futile,False,11
19,25,logical analysis,logical analysis,True,11
19,73,proper names,proper names,True,11
19,87,futile,insistence,False,11
19,33,polyptotes,polyptotes,True,11
19,21,omeoptotes,hellenisms,False,11
19,50,casual,omeoptotes,False,11
20,32,alexandrines,comedy,False,11
20,86,zoological,zoological,True,11
20,20,distinguo,distinguo,True,11
20,87,futile,narrative,False,11
20,56,visual,visual,True,11
20,15,narrative,official letter,False,11
