Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,188,Distinguo,Distinguo,True,8,isl,21. Distinguo
1,1,171,Á líkindamáli,Distinguo,False,8,isl,4. Métaphoriquement
1,1,175,Spádómar,Distinguo,False,8,isl,8. Pronostications
1,1,168,Minnispunktar,Distinguo,False,8,isl,1. Notations
1,1,191,Kynningarbréf,Distinguo,False,8,isl,24. Prière d'insérer
1,1,176,Orðabrengl,Á líkindamáli,False,8,isl,9. Synchyses
1,1,172,Aftur á bak,Distinguo,False,8,isl,5. Rétrograde
1,2,175,Spádómar,Distinguo,False,8,isl,8. Pronostications
1,2,191,Kynningarbréf,Distinguo,False,8,isl,24. Prière d'insérer
1,2,171,Á líkindamáli,Distinguo,False,8,isl,4. Métaphoriquement
1,2,168,Minnispunktar,Distinguo,False,8,isl,1. Notations
1,2,188,Distinguo,Distinguo,True,8,isl,21. Distinguo
1,2,172,Aftur á bak,Distinguo,False,8,isl,5. Rétrograde
1,2,176,Orðabrengl,Á líkindamáli,False,8,isl,9. Synchyses
1,3,175,Spádómar,Distinguo,False,8,isl,8. Pronostications
1,3,171,Á líkindamáli,Distinguo,False,8,isl,4. Métaphoriquement
1,3,172,Aftur á bak,Á líkindamáli,False,8,isl,5. Rétrograde
1,3,191,Kynningarbréf,Distinguo,False,8,isl,24. Prière d'insérer
1,3,168,Minnispunktar,Distinguo,False,8,isl,1. Notations
1,3,188,Distinguo,Distinguo,True,8,isl,21. Distinguo
1,3,176,Orðabrengl,Á líkindamáli,False,8,isl,9. Synchyses
2,1,168,Minnispunktar,Útdráttur,False,8,isl,1. Notations
2,1,191,Kynningarbréf,Huglæga hliðin,False,8,isl,24. Prière d'insérer
2,1,181,Huglæga hliðin,Huglæga hliðin,True,8,isl,14. Le côté subjectif
2,1,170,Útdráttur,Minnispunktar,False,8,isl,3. Litotes
2,1,186,Andatrú,Minnispunktar,False,8,isl,19. Animiste
2,1,189,Síbylja,Huglæga hliðin,False,8,isl,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,185,Neitanir,Huglæga hliðin,False,8,isl,18. Négativités
2,1,169,Í tvöföldum leik,Minnispunktar,False,8,isl,2. En partie double
2,2,186,Andatrú,Minnispunktar,False,8,isl,19. Animiste
2,2,168,Minnispunktar,Útdráttur,False,8,isl,1. Notations
2,2,191,Kynningarbréf,Huglæga hliðin,False,8,isl,24. Prière d'insérer
2,2,169,Í tvöföldum leik,Minnispunktar,False,8,isl,2. En partie double
2,2,181,Huglæga hliðin,Huglæga hliðin,True,8,isl,14. Le côté subjectif
2,2,170,Útdráttur,Minnispunktar,False,8,isl,3. Litotes
2,2,185,Neitanir,Útdráttur,False,8,isl,18. Négativités
2,2,189,Síbylja,Huglæga hliðin,False,8,isl,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,169,Í tvöföldum leik,Minnispunktar,False,8,isl,2. En partie double
2,3,185,Neitanir,Huglæga hliðin,False,8,isl,18. Négativités
2,3,168,Minnispunktar,Minnispunktar,True,8,isl,1. Notations
2,3,191,Kynningarbréf,Huglæga hliðin,False,8,isl,24. Prière d'insérer
2,3,186,Andatrú,Síbylja,False,8,isl,19. Animiste
2,3,170,Útdráttur,Minnispunktar,False,8,isl,3. Litotes
2,3,181,Huglæga hliðin,Huglæga hliðin,True,8,isl,14. Le côté subjectif
2,3,189,Síbylja,Huglæga hliðin,False,8,isl,22. Homéoptotes (1947) / Homéotéleutes (1976)
3,1,168,Minnispunktar,Distinguo,False,8,isl,1. Notations
3,1,174,Draumur,Draumur,True,8,isl,7. Rêve
3,1,175,Spádómar,Minnispunktar,False,8,isl,8. Pronostications
3,1,190,Opinbert bréf,Opinbert bréf,True,8,isl,23. Lettre officielle
3,1,184,Orðatilbúningur,Distinguo,False,8,isl,17. Composition de mots
3,1,185,Neitanir,Distinguo,False,8,isl,18. Négativités
3,1,188,Distinguo,Distinguo,True,8,isl,21. Distinguo
3,1,187,Anagramm,Distinguo,False,8,isl,20. Anagrammes
3,2,190,Opinbert bréf,Opinbert bréf,True,8,isl,23. Lettre officielle
3,2,184,Orðatilbúningur,Distinguo,False,8,isl,17. Composition de mots
3,2,175,Spádómar,Minnispunktar,False,8,isl,8. Pronostications
3,2,185,Neitanir,Distinguo,False,8,isl,18. Négativités
3,2,174,Draumur,Draumur,True,8,isl,7. Rêve
3,2,168,Minnispunktar,Distinguo,False,8,isl,1. Notations
3,2,187,Anagramm,Distinguo,False,8,isl,20. Anagrammes
3,2,188,Distinguo,Distinguo,True,8,isl,21. Distinguo
3,3,184,Orðatilbúningur,Distinguo,False,8,isl,17. Composition de mots
3,3,185,Neitanir,Distinguo,False,8,isl,18. Négativités
3,3,174,Draumur,Draumur,True,8,isl,7. Rêve
3,3,190,Opinbert bréf,Opinbert bréf,True,8,isl,23. Lettre officielle
3,3,187,Anagramm,Distinguo,False,8,isl,20. Anagrammes
3,3,175,Spádómar,Minnispunktar,False,8,isl,8. Pronostications
3,3,188,Distinguo,Spádómar,False,8,isl,21. Distinguo
3,3,168,Minnispunktar,Distinguo,False,8,isl,1. Notations
4,1,173,Með ólíkindum,Huglæga hliðin,False,8,isl,6. Surprises
4,1,186,Andatrú,Huglæga hliðin,False,8,isl,19. Animiste
4,1,182,Önnur huglægni,Huglæga hliðin,False,8,isl,15. Autre subjectivité
4,1,175,Spádómar,Huglæga hliðin,False,8,isl,8. Pronostications
4,1,168,Minnispunktar,Huglæga hliðin,False,8,isl,1. Notations
4,1,190,Opinbert bréf,Opinbert bréf,True,8,isl,23. Lettre officielle
4,1,181,Huglæga hliðin,Huglæga hliðin,True,8,isl,14. Le côté subjectif
4,1,176,Orðabrengl,Huglæga hliðin,False,8,isl,9. Synchyses
4,2,176,Orðabrengl,Huglæga hliðin,False,8,isl,9. Synchyses
4,2,186,Andatrú,Huglæga hliðin,False,8,isl,19. Animiste
4,2,190,Opinbert bréf,Opinbert bréf,True,8,isl,23. Lettre officielle
4,2,182,Önnur huglægni,Huglæga hliðin,False,8,isl,15. Autre subjectivité
4,2,175,Spádómar,Huglæga hliðin,False,8,isl,8. Pronostications
4,2,173,Með ólíkindum,Huglæga hliðin,False,8,isl,6. Surprises
4,2,168,Minnispunktar,Huglæga hliðin,False,8,isl,1. Notations
4,2,181,Huglæga hliðin,Huglæga hliðin,True,8,isl,14. Le côté subjectif
4,3,186,Andatrú,Huglæga hliðin,False,8,isl,19. Animiste
4,3,181,Huglæga hliðin,Huglæga hliðin,True,8,isl,14. Le côté subjectif
4,3,176,Orðabrengl,Huglæga hliðin,False,8,isl,9. Synchyses
4,3,182,Önnur huglægni,Huglæga hliðin,False,8,isl,15. Autre subjectivité
4,3,190,Opinbert bréf,Opinbert bréf,True,8,isl,23. Lettre officielle
4,3,168,Minnispunktar,Huglæga hliðin,False,8,isl,1. Notations
4,3,175,Spádómar,Huglæga hliðin,False,8,isl,8. Pronostications
4,3,173,Með ólíkindum,Huglæga hliðin,False,8,isl,6. Surprises
5,1,178,Orðarall,Orðabrengl,False,8,isl,11. Logo-rallye
5,1,170,Útdráttur,Á líkindamáli,False,8,isl,3. Litotes
5,1,171,Á líkindamáli,Orðabrengl,False,8,isl,4. Métaphoriquement
5,1,180,Nákvæmni,Orðabrengl,False,8,isl,13. Précisions
5,1,176,Orðabrengl,Orðabrengl,True,8,isl,9. Synchyses
5,1,172,Aftur á bak,Orðarall,False,8,isl,5. Rétrograde
5,1,174,Draumur,Draumur,True,8,isl,7. Rêve
5,2,180,Nákvæmni,Nákvæmni,True,8,isl,13. Précisions
5,2,176,Orðabrengl,Orðabrengl,True,8,isl,9. Synchyses
5,2,170,Útdráttur,Á líkindamáli,False,8,isl,3. Litotes
5,2,172,Aftur á bak,Orðarall,False,8,isl,5. Rétrograde
5,2,171,Á líkindamáli,Orðabrengl,False,8,isl,4. Métaphoriquement
5,2,174,Draumur,Draumur,True,8,isl,7. Rêve
5,2,178,Orðarall,Orðarall,True,8,isl,11. Logo-rallye
5,3,180,Nákvæmni,Nákvæmni,True,8,isl,13. Précisions
5,3,178,Orðarall,Orðabrengl,False,8,isl,11. Logo-rallye
5,3,171,Á líkindamáli,Orðabrengl,False,8,isl,4. Métaphoriquement
5,3,170,Útdráttur,Á líkindamáli,False,8,isl,3. Litotes
5,3,172,Aftur á bak,Á líkindamáli,False,8,isl,5. Rétrograde
5,3,174,Draumur,Draumur,True,8,isl,7. Rêve
5,3,176,Orðabrengl,Orðabrengl,True,8,isl,9. Synchyses
6,1,191,Kynningarbréf,Í tvöföldum leik,False,8,isl,24. Prière d'insérer
6,1,180,Nákvæmni,Nákvæmni,True,8,isl,13. Précisions
6,1,171,Á líkindamáli,Orðabrengl,False,8,isl,4. Métaphoriquement
6,1,187,Anagramm,Orðabrengl,False,8,isl,20. Anagrammes
6,1,182,Önnur huglægni,Nákvæmni,False,8,isl,15. Autre subjectivité
6,1,185,Neitanir,Orðabrengl,False,8,isl,18. Négativités
6,1,176,Orðabrengl,Í tvöföldum leik,False,8,isl,9. Synchyses
6,1,169,Í tvöföldum leik,Nákvæmni,False,8,isl,2. En partie double
6,2,176,Orðabrengl,Orðabrengl,True,8,isl,9. Synchyses
6,2,187,Anagramm,Orðabrengl,False,8,isl,20. Anagrammes
6,2,180,Nákvæmni,Nákvæmni,True,8,isl,13. Précisions
6,2,169,Í tvöföldum leik,Nákvæmni,False,8,isl,2. En partie double
6,2,171,Á líkindamáli,Orðabrengl,False,8,isl,4. Métaphoriquement
6,2,185,Neitanir,Orðabrengl,False,8,isl,18. Négativités
6,2,191,Kynningarbréf,Í tvöföldum leik,False,8,isl,24. Prière d'insérer
6,2,182,Önnur huglægni,Orðabrengl,False,8,isl,15. Autre subjectivité
