Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,236,Певні відмінності,Метафорично,False,2,ukr,21. Distinguo
1,1,219,Метафорично,Метафорично,True,2,ukr,4. Métaphoriquement
1,2,219,Метафорично,Метафорично,True,2,ukr,4. Métaphoriquement
1,2,236,Певні відмінності,Метафорично,False,2,ukr,21. Distinguo
1,3,236,Певні відмінності,Метафорично,False,2,ukr,21. Distinguo
1,3,219,Метафорично,Метафорично,True,2,ukr,4. Métaphoriquement
2,1,237,Гомеотелота,Гомеотелота,True,2,ukr,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,239,Видавнича анотація,Видавнича анотація,True,2,ukr,24. Prière d'insérer
2,2,239,Видавнича анотація,Видавнича анотація,True,2,ukr,24. Prière d'insérer
2,2,237,Гомеотелота,Гомеотелота,True,2,ukr,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,237,Гомеотелота,Гомеотелота,True,2,ukr,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,239,Видавнича анотація,Видавнича анотація,True,2,ukr,24. Prière d'insérer
3,1,232,Словоскладення,Словоскладення,True,2,ukr,17. Composition de mots
3,1,223,Пророкування,Пророкування,True,2,ukr,8. Pronostications
3,2,223,Пророкування,Пророкування,True,2,ukr,8. Pronostications
3,2,232,Словоскладення,Словоскладення,True,2,ukr,17. Composition de mots
3,3,232,Словоскладення,Словоскладення,True,2,ukr,17. Composition de mots
3,3,223,Пророкування,Пророкування,True,2,ukr,8. Pronostications
4,1,229,Суб’єктивний погляд,Суб’єктивний погляд,True,2,ukr,14. Le côté subjectif
4,1,223,Пророкування,Пророкування,True,2,ukr,8. Pronostications
4,2,223,Пророкування,Пророкування,True,2,ukr,8. Pronostications
4,2,229,Суб’єктивний погляд,Суб’єктивний погляд,True,2,ukr,14. Le côté subjectif
4,3,229,Суб’єктивний погляд,Суб’єктивний погляд,True,2,ukr,14. Le côté subjectif
4,3,223,Пророкування,Пророкування,True,2,ukr,8. Pronostications
5,1,220,У зворотному порядку,У зворотному порядку,True,2,ukr,5. Rétrograde
5,1,224,Синхиза,У зворотному порядку,False,2,ukr,9. Synchyses
5,2,224,Синхиза,У зворотному порядку,False,2,ukr,9. Synchyses
5,2,220,У зворотному порядку,У зворотному порядку,True,2,ukr,5. Rétrograde
5,3,220,У зворотному порядку,У зворотному порядку,True,2,ukr,5. Rétrograde
5,3,224,Синхиза,У зворотному порядку,False,2,ukr,9. Synchyses
6,1,235,Анаграми,Анаграми,True,2,ukr,20. Anagrammes
6,1,224,Синхиза,Синхронізм,False,2,ukr,9. Synchyses
6,2,224,Синхиза,Синхронізм,False,2,ukr,9. Synchyses
6,2,235,Анаграми,Анаграми,True,2,ukr,20. Anagrammes
6,3,235,Анаграми,Анаграми,True,2,ukr,20. Anagrammes
6,3,224,Синхиза,Синхронізм,False,2,ukr,9. Synchyses
7,1,225,Райдуга навпаки,Певні відмінності,False,2,ukr,10. L'arc-en-ciel
7,1,236,Певні відмінності,Райдуга навпаки,False,2,ukr,21. Distinguo
7,2,236,Певні відмінності,Райдуга навпаки,False,2,ukr,21. Distinguo
7,2,225,Райдуга навпаки,Певні відмінності,False,2,ukr,10. L'arc-en-ciel
7,3,236,Певні відмінності,Райдуга навпаки,False,2,ukr,21. Distinguo
7,3,225,Райдуга навпаки,Певні відмінності,False,2,ukr,10. L'arc-en-ciel
8,1,223,Пророкування,Пророкування,True,2,ukr,8. Pronostications
8,1,225,Райдуга навпаки,Райдуга навпаки,True,2,ukr,10. L'arc-en-ciel
8,2,223,Пророкування,Пророкування,True,2,ukr,8. Pronostications
8,2,225,Райдуга навпаки,Райдуга навпаки,True,2,ukr,10. L'arc-en-ciel
8,3,223,Пророкування,Пророкування,True,2,ukr,8. Pronostications
8,3,225,Райдуга навпаки,Райдуга навпаки,True,2,ukr,10. L'arc-en-ciel
9,1,221,Несподіванки,Несподіванки,True,2,ukr,6. Surprises
9,1,227,Непевність,Непевність,True,2,ukr,12. Hésitations
9,2,221,Несподіванки,Несподіванки,True,2,ukr,6. Surprises
9,2,227,Непевність,Непевність,True,2,ukr,12. Hésitations
9,3,221,Несподіванки,Несподіванки,True,2,ukr,6. Surprises
9,3,227,Непевність,Непевність,True,2,ukr,12. Hésitations
10,1,236,Певні відмінності,Анаграми,False,2,ukr,21. Distinguo
10,1,235,Анаграми,Анаграми,True,2,ukr,20. Anagrammes
10,2,235,Анаграми,Анаграми,True,2,ukr,20. Anagrammes
10,2,236,Певні відмінності,Анаграми,False,2,ukr,21. Distinguo
10,3,236,Певні відмінності,Анаграми,False,2,ukr,21. Distinguo
10,3,235,Анаграми,Анаграми,True,2,ukr,20. Anagrammes
11,1,238,Офіційний лист,Офіційний лист,True,2,ukr,23. Lettre officielle
11,1,236,Певні відмінності,Певні відмінності,True,2,ukr,21. Distinguo
11,2,238,Офіційний лист,Офіційний лист,True,2,ukr,23. Lettre officielle
11,2,236,Певні відмінності,Певні відмінності,True,2,ukr,21. Distinguo
11,3,236,Певні відмінності,Певні відмінності,True,2,ukr,21. Distinguo
11,3,238,Офіційний лист,Офіційний лист,True,2,ukr,23. Lettre officielle
12,1,224,Синхиза,Синхронізм,False,2,ukr,9. Synchyses
12,1,228,Уточнення,Синхиза,False,2,ukr,13. Précisions
12,2,228,Уточнення,Синхиза,False,2,ukr,13. Précisions
12,2,224,Синхиза,Синхронізм,False,2,ukr,9. Synchyses
12,3,224,Синхиза,Синхронізм,False,2,ukr,9. Synchyses
12,3,228,Уточнення,Синхиза,False,2,ukr,13. Précisions
13,1,228,Уточнення,Уточнення,True,2,ukr,13. Précisions
13,1,236,Певні відмінності,Уточнення,False,2,ukr,21. Distinguo
13,2,236,Певні відмінності,Уточнення,False,2,ukr,21. Distinguo
13,2,228,Уточнення,Уточнення,True,2,ukr,13. Précisions
13,3,236,Певні відмінності,Уточнення,False,2,ukr,21. Distinguo
13,3,228,Уточнення,Уточнення,True,2,ukr,13. Précisions
14,1,239,Видавнича анотація,Видавнича анотація,True,2,ukr,24. Prière d'insérer
14,1,224,Синхиза,Синхиза,True,2,ukr,9. Synchyses
14,2,224,Синхиза,Синхиза,True,2,ukr,9. Synchyses
14,2,239,Видавнича анотація,Видавнича анотація,True,2,ukr,24. Prière d'insérer
14,3,239,Видавнича анотація,Видавнича анотація,True,2,ukr,24. Prière d'insérer
14,3,224,Синхиза,Синхиза,True,2,ukr,9. Synchyses
15,1,218,Лаконічно,Оповідь,False,2,ukr,3. Litotes
15,1,231,Оповідь,Оповідь,True,2,ukr,16. Récit
15,2,231,Оповідь,Оповідь,True,2,ukr,16. Récit
15,2,218,Лаконічно,Оповідь,False,2,ukr,3. Litotes
15,3,231,Оповідь,Оповідь,True,2,ukr,16. Récit
15,3,218,Лаконічно,Лаконічно,True,2,ukr,3. Litotes
16,1,218,Лаконічно,Лаконічно,True,2,ukr,3. Litotes
16,1,228,Уточнення,Лаконічно,False,2,ukr,13. Précisions
16,2,228,Уточнення,Лаконічно,False,2,ukr,13. Précisions
16,2,218,Лаконічно,Лаконічно,True,2,ukr,3. Litotes
16,3,218,Лаконічно,Лаконічно,True,2,ukr,3. Litotes
16,3,228,Уточнення,Лаконічно,False,2,ukr,13. Précisions
17,1,239,Видавнича анотація,Видавнича анотація,True,2,ukr,24. Prière d'insérer
17,1,219,Метафорично,Метафорично,True,2,ukr,4. Métaphoriquement
17,2,239,Видавнича анотація,Видавнича анотація,True,2,ukr,24. Prière d'insérer
17,2,219,Метафорично,Метафорично,True,2,ukr,4. Métaphoriquement
17,3,239,Видавнича анотація,Видавнича анотація,True,2,ukr,24. Prière d'insérer
17,3,219,Метафорично,Метафорично,True,2,ukr,4. Métaphoriquement
18,1,230,Інший суб’єктивний погляд,Несподіванки,False,2,ukr,15. Autre subjectivité
18,1,221,Несподіванки,Несподіванки,True,2,ukr,6. Surprises
18,2,221,Несподіванки,Несподіванки,True,2,ukr,6. Surprises
18,2,230,Інший суб’єктивний погляд,Несподіванки,False,2,ukr,15. Autre subjectivité
18,3,230,Інший суб’єктивний погляд,Несподіванки,False,2,ukr,15. Autre subjectivité
18,3,221,Несподіванки,Несподіванки,True,2,ukr,6. Surprises
19,1,225,Райдуга навпаки,Певні відмінності,False,2,ukr,10. L'arc-en-ciel
19,1,236,Певні відмінності,Певні відмінності,True,2,ukr,21. Distinguo
19,2,225,Райдуга навпаки,Певні відмінності,False,2,ukr,10. L'arc-en-ciel
19,2,236,Певні відмінності,Певні відмінності,True,2,ukr,21. Distinguo
19,3,225,Райдуга навпаки,Певні відмінності,False,2,ukr,10. L'arc-en-ciel
19,3,236,Певні відмінності,Певні відмінності,True,2,ukr,21. Distinguo
20,1,216,Нотатки,Нотатки,True,2,ukr,1. Notations
20,1,232,Словоскладення,Словоскладення,True,2,ukr,17. Composition de mots
20,2,232,Словоскладення,Словоскладення,True,2,ukr,17. Composition de mots
20,2,216,Нотатки,Нотатки,True,2,ukr,1. Notations
20,3,232,Словоскладення,Словоскладення,True,2,ukr,17. Composition de mots
20,3,216,Нотатки,Нотатки,True,2,ukr,1. Notations
