Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,164,Distingo,Sínquisis,False,8,spa,21. Distinguo
1,1,167,Propaganda editorial,Propaganda editorial,True,8,spa,24. Prière d'insérer
1,1,152,Sínquisis,Sínquisis,True,8,spa,9. Synchyses
1,1,148,Retrógrado,Retrógrado,True,8,spa,5. Rétrograde
1,1,151,Pronosticaciones,Retrógrado,False,8,spa,8. Pronostications
1,1,147,Metafóricamente,Sínquisis,False,8,spa,4. Métaphoriquement
1,1,144,Notaciones,Retrógrado,False,8,spa,1. Notations
1,2,151,Pronosticaciones,Retrógrado,False,8,spa,8. Pronostications
1,2,148,Retrógrado,Retrógrado,True,8,spa,5. Rétrograde
1,2,152,Sínquisis,Sínquisis,True,8,spa,9. Synchyses
1,2,167,Propaganda editorial,Propaganda editorial,True,8,spa,24. Prière d'insérer
1,2,164,Distingo,Sínquisis,False,8,spa,21. Distinguo
1,2,144,Notaciones,Retrógrado,False,8,spa,1. Notations
1,2,147,Metafóricamente,Sínquisis,False,8,spa,4. Métaphoriquement
1,3,151,Pronosticaciones,Retrógrado,False,8,spa,8. Pronostications
1,3,152,Sínquisis,Sínquisis,True,8,spa,9. Synchyses
1,3,167,Propaganda editorial,Propaganda editorial,True,8,spa,24. Prière d'insérer
1,3,164,Distingo,Sínquisis,False,8,spa,21. Distinguo
1,3,144,Notaciones,Retrógrado,False,8,spa,1. Notations
1,3,148,Retrógrado,Retrógrado,True,8,spa,5. Rétrograde
1,3,147,Metafóricamente,Sínquisis,False,8,spa,4. Métaphoriquement
2,1,165,Homeoteleutones,Homeoteleutones,True,8,spa,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,144,Notaciones,Animismo,False,8,spa,1. Notations
2,1,157,Punto de vista subjetivo,Punto de vista subjetivo,True,8,spa,14. Le côté subjectif
2,1,146,Lítotes,Punto de vista subjetivo,False,8,spa,3. Litotes
2,1,161,Negatividades,Por partida doble,False,8,spa,18. Négativités
2,1,145,Por partida doble,Animismo,False,8,spa,2. En partie double
2,1,167,Propaganda editorial,Propaganda editorial,True,8,spa,24. Prière d'insérer
2,1,162,Animismo,Animismo,True,8,spa,19. Animiste
2,2,145,Por partida doble,Animismo,False,8,spa,2. En partie double
2,2,161,Negatividades,Por partida doble,False,8,spa,18. Négativités
2,2,162,Animismo,Animismo,True,8,spa,19. Animiste
2,2,165,Homeoteleutones,Homeoteleutones,True,8,spa,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,146,Lítotes,Punto de vista subjetivo,False,8,spa,3. Litotes
2,2,167,Propaganda editorial,Propaganda editorial,True,8,spa,24. Prière d'insérer
2,2,157,Punto de vista subjetivo,Punto de vista subjetivo,True,8,spa,14. Le côté subjectif
2,2,144,Notaciones,Animismo,False,8,spa,1. Notations
2,3,161,Negatividades,Por partida doble,False,8,spa,18. Négativités
2,3,157,Punto de vista subjetivo,Punto de vista subjetivo,True,8,spa,14. Le côté subjectif
2,3,146,Lítotes,Punto de vista subjetivo,False,8,spa,3. Litotes
2,3,145,Por partida doble,Animismo,False,8,spa,2. En partie double
2,3,167,Propaganda editorial,Propaganda editorial,True,8,spa,24. Prière d'insérer
2,3,144,Notaciones,Animismo,False,8,spa,1. Notations
2,3,165,Homeoteleutones,Homeoteleutones,True,8,spa,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,162,Animismo,Animismo,True,8,spa,19. Animiste
3,1,166,Carta oficial,Carta oficial,True,8,spa,23. Lettre officielle
3,1,150,Sueño,Sueño,True,8,spa,7. Rêve
3,1,144,Notaciones,Distingo,False,8,spa,1. Notations
3,1,151,Pronosticaciones,Pronosticaciones,True,8,spa,8. Pronostications
3,1,164,Distingo,Palabras compuestas,False,8,spa,21. Distinguo
3,1,160,Palabras compuestas,Palabras compuestas,True,8,spa,17. Composition de mots
3,1,163,Anagramas,Palabras compuestas,False,8,spa,20. Anagrammes
3,1,161,Negatividades,Negatividades,True,8,spa,18. Négativités
3,2,166,Carta oficial,Carta oficial,True,8,spa,23. Lettre officielle
3,2,160,Palabras compuestas,Palabras compuestas,True,8,spa,17. Composition de mots
3,2,163,Anagramas,Palabras compuestas,False,8,spa,20. Anagrammes
3,2,161,Negatividades,Negatividades,True,8,spa,18. Négativités
3,2,151,Pronosticaciones,Pronosticaciones,True,8,spa,8. Pronostications
3,2,144,Notaciones,Distingo,False,8,spa,1. Notations
3,2,164,Distingo,Palabras compuestas,False,8,spa,21. Distinguo
3,2,150,Sueño,Sueño,True,8,spa,7. Rêve
3,3,161,Negatividades,Negatividades,True,8,spa,18. Négativités
3,3,150,Sueño,Sueño,True,8,spa,7. Rêve
3,3,163,Anagramas,Palabras compuestas,False,8,spa,20. Anagrammes
3,3,166,Carta oficial,Carta oficial,True,8,spa,23. Lettre officielle
3,3,164,Distingo,Palabras compuestas,False,8,spa,21. Distinguo
3,3,151,Pronosticaciones,Pronosticaciones,True,8,spa,8. Pronostications
3,3,144,Notaciones,Distingo,False,8,spa,1. Notations
3,3,160,Palabras compuestas,Palabras compuestas,True,8,spa,17. Composition de mots
4,1,144,Notaciones,Animismo,False,8,spa,1. Notations
4,1,151,Pronosticaciones,Punto de vista subjetivo,False,8,spa,8. Pronostications
4,1,166,Carta oficial,Carta oficial,True,8,spa,23. Lettre officielle
4,1,152,Sínquisis,Animismo,False,8,spa,9. Synchyses
