Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,171,Á líkindamáli,Orðabrengl,False,6,isl,4. Métaphoriquement
1,1,176,Orðabrengl,Á líkindamáli,False,6,isl,9. Synchyses
1,1,175,Spádómar,Á líkindamáli,False,6,isl,8. Pronostications
1,1,191,Kynningarbréf,Kynningarbréf,True,6,isl,24. Prière d'insérer
1,1,168,Minnispunktar,Minnispunktar,True,6,isl,1. Notations
1,1,188,Distinguo,Distinguo,True,6,isl,21. Distinguo
1,2,171,Á líkindamáli,Orðabrengl,False,6,isl,4. Métaphoriquement
1,2,168,Minnispunktar,Á líkindamáli,False,6,isl,1. Notations
1,2,188,Distinguo,Á líkindamáli,False,6,isl,21. Distinguo
1,2,175,Spádómar,Á líkindamáli,False,6,isl,8. Pronostications
1,2,176,Orðabrengl,Á líkindamáli,False,6,isl,9. Synchyses
1,2,191,Kynningarbréf,Kynningarbréf,True,6,isl,24. Prière d'insérer
1,3,168,Minnispunktar,Minnispunktar,True,6,isl,1. Notations
1,3,191,Kynningarbréf,Kynningarbréf,True,6,isl,24. Prière d'insérer
1,3,175,Spádómar,Á líkindamáli,False,6,isl,8. Pronostications
1,3,176,Orðabrengl,Á líkindamáli,False,6,isl,9. Synchyses
1,3,188,Distinguo,Á líkindamáli,False,6,isl,21. Distinguo
1,3,171,Á líkindamáli,Orðabrengl,False,6,isl,4. Métaphoriquement
2,1,185,Neitanir,Síbylja,False,6,isl,18. Négativités
2,1,186,Andatrú,Andatrú,True,6,isl,19. Animiste
2,1,170,Útdráttur,Andatrú,False,6,isl,3. Litotes
2,1,189,Síbylja,Síbylja,True,6,isl,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,181,Huglæga hliðin,Huglæga hliðin,True,6,isl,14. Le côté subjectif
2,1,191,Kynningarbréf,Huglæga hliðin,False,6,isl,24. Prière d'insérer
2,2,191,Kynningarbréf,Síbylja,False,6,isl,24. Prière d'insérer
2,2,170,Útdráttur,Andatrú,False,6,isl,3. Litotes
2,2,185,Neitanir,Síbylja,False,6,isl,18. Négativités
2,2,181,Huglæga hliðin,Huglæga hliðin,True,6,isl,14. Le côté subjectif
2,2,186,Andatrú,Andatrú,True,6,isl,19. Animiste
2,2,189,Síbylja,Síbylja,True,6,isl,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,185,Neitanir,Síbylja,False,6,isl,18. Négativités
2,3,189,Síbylja,Síbylja,True,6,isl,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,191,Kynningarbréf,Huglæga hliðin,False,6,isl,24. Prière d'insérer
2,3,170,Útdráttur,Andatrú,False,6,isl,3. Litotes
2,3,181,Huglæga hliðin,Huglæga hliðin,True,6,isl,14. Le côté subjectif
2,3,186,Andatrú,Andatrú,True,6,isl,19. Animiste
3,1,175,Spádómar,Spádómar,True,6,isl,8. Pronostications
3,1,168,Minnispunktar,Minnispunktar,True,6,isl,1. Notations
3,1,185,Neitanir,Neitanir,True,6,isl,18. Négativités
3,1,174,Draumur,Draumur,True,6,isl,7. Rêve
3,1,187,Anagramm,Orðatilbúningur,False,6,isl,20. Anagrammes
3,1,184,Orðatilbúningur,Orðatilbúningur,True,6,isl,17. Composition de mots
3,2,185,Neitanir,Neitanir,True,6,isl,18. Négativités
3,2,168,Minnispunktar,Minnispunktar,True,6,isl,1. Notations
3,2,175,Spádómar,Spádómar,True,6,isl,8. Pronostications
3,2,174,Draumur,Draumur,True,6,isl,7. Rêve
3,2,184,Orðatilbúningur,Orðatilbúningur,True,6,isl,17. Composition de mots
3,2,187,Anagramm,Orðatilbúningur,False,6,isl,20. Anagrammes
3,3,175,Spádómar,Spádómar,True,6,isl,8. Pronostications
3,3,187,Anagramm,Orðatilbúningur,False,6,isl,20. Anagrammes
3,3,184,Orðatilbúningur,Orðatilbúningur,True,6,isl,17. Composition de mots
3,3,185,Neitanir,Neitanir,True,6,isl,18. Négativités
3,3,174,Draumur,Draumur,True,6,isl,7. Rêve
3,3,168,Minnispunktar,Minnispunktar,True,6,isl,1. Notations
4,1,175,Spádómar,Andatrú,False,6,isl,8. Pronostications
4,1,186,Andatrú,Andatrú,True,6,isl,19. Animiste
4,1,182,Önnur huglægni,Huglæga hliðin,False,6,isl,15. Autre subjectivité
4,1,181,Huglæga hliðin,Huglæga hliðin,True,6,isl,14. Le côté subjectif
4,1,168,Minnispunktar,Andatrú,False,6,isl,1. Notations
4,1,176,Orðabrengl,Andatrú,False,6,isl,9. Synchyses
4,2,186,Andatrú,Andatrú,True,6,isl,19. Animiste
4,2,181,Huglæga hliðin,Huglæga hliðin,True,6,isl,14. Le côté subjectif
4,2,168,Minnispunktar,Andatrú,False,6,isl,1. Notations
4,2,182,Önnur huglægni,Huglæga hliðin,False,6,isl,15. Autre subjectivité
4,2,175,Spádómar,Andatrú,False,6,isl,8. Pronostications
4,2,176,Orðabrengl,Andatrú,False,6,isl,9. Synchyses
4,3,176,Orðabrengl,Andatrú,False,6,isl,9. Synchyses
4,3,182,Önnur huglægni,Huglæga hliðin,False,6,isl,15. Autre subjectivité
4,3,168,Minnispunktar,Andatrú,False,6,isl,1. Notations
4,3,175,Spádómar,Andatrú,False,6,isl,8. Pronostications
4,3,181,Huglæga hliðin,Huglæga hliðin,True,6,isl,14. Le côté subjectif
4,3,186,Andatrú,Andatrú,True,6,isl,19. Animiste
5,1,172,Aftur á bak,Aftur á bak,True,6,isl,5. Rétrograde
5,1,171,Á líkindamáli,Orðabrengl,False,6,isl,4. Métaphoriquement
5,1,170,Útdráttur,Aftur á bak,False,6,isl,3. Litotes
5,1,178,Orðarall,Orðabrengl,False,6,isl,11. Logo-rallye
5,1,174,Draumur,Draumur,True,6,isl,7. Rêve
5,1,176,Orðabrengl,Aftur á bak,False,6,isl,9. Synchyses
5,2,174,Draumur,Draumur,True,6,isl,7. Rêve
5,2,171,Á líkindamáli,Orðabrengl,False,6,isl,4. Métaphoriquement
5,2,170,Útdráttur,Aftur á bak,False,6,isl,3. Litotes
5,2,172,Aftur á bak,Aftur á bak,True,6,isl,5. Rétrograde
5,2,176,Orðabrengl,Aftur á bak,False,6,isl,9. Synchyses
5,2,178,Orðarall,Orðabrengl,False,6,isl,11. Logo-rallye
5,3,178,Orðarall,Orðabrengl,False,6,isl,11. Logo-rallye
5,3,172,Aftur á bak,Aftur á bak,True,6,isl,5. Rétrograde
5,3,174,Draumur,Draumur,True,6,isl,7. Rêve
5,3,170,Útdráttur,Aftur á bak,False,6,isl,3. Litotes
5,3,176,Orðabrengl,Aftur á bak,False,6,isl,9. Synchyses
5,3,171,Á líkindamáli,Orðabrengl,False,6,isl,4. Métaphoriquement
6,1,191,Kynningarbréf,Kynningarbréf,True,6,isl,24. Prière d'insérer
6,1,169,Í tvöföldum leik,Í tvöföldum leik,True,6,isl,2. En partie double
6,1,176,Orðabrengl,Orðabrengl,True,6,isl,9. Synchyses
6,1,187,Anagramm,Í tvöföldum leik,False,6,isl,20. Anagrammes
6,1,185,Neitanir,Í tvöföldum leik,False,6,isl,18. Négativités
6,1,182,Önnur huglægni,Orðabrengl,False,6,isl,15. Autre subjectivité
6,2,182,Önnur huglægni,Orðabrengl,False,6,isl,15. Autre subjectivité
6,2,169,Í tvöföldum leik,Í tvöföldum leik,True,6,isl,2. En partie double
6,2,185,Neitanir,Í tvöföldum leik,False,6,isl,18. Négativités
6,2,187,Anagramm,Í tvöföldum leik,False,6,isl,20. Anagrammes
6,2,191,Kynningarbréf,Kynningarbréf,True,6,isl,24. Prière d'insérer
6,2,176,Orðabrengl,Orðabrengl,True,6,isl,9. Synchyses
6,3,169,Í tvöföldum leik,Í tvöföldum leik,True,6,isl,2. En partie double
6,3,191,Kynningarbréf,Kynningarbréf,True,6,isl,24. Prière d'insérer
6,3,182,Önnur huglægni,Orðabrengl,False,6,isl,15. Autre subjectivité
6,3,176,Orðabrengl,Orðabrengl,True,6,isl,9. Synchyses
6,3,187,Anagramm,Í tvöföldum leik,False,6,isl,20. Anagrammes
6,3,185,Neitanir,Í tvöföldum leik,False,6,isl,18. Négativités
7,1,186,Andatrú,Andatrú,True,6,isl,19. Animiste
7,1,177,Regnboginn,Andatrú,False,6,isl,10. L'arc-en-ciel
7,1,179,Hik,Hik,True,6,isl,12. Hésitations
7,1,174,Draumur,Draumur,True,6,isl,7. Rêve
7,1,188,Distinguo,Andatrú,False,6,isl,21. Distinguo
7,1,187,Anagramm,Andatrú,False,6,isl,20. Anagrammes
7,2,174,Draumur,Draumur,True,6,isl,7. Rêve
7,2,187,Anagramm,Andatrú,False,6,isl,20. Anagrammes
7,2,177,Regnboginn,Andatrú,False,6,isl,10. L'arc-en-ciel
7,2,179,Hik,Hik,True,6,isl,12. Hésitations
7,2,186,Andatrú,Andatrú,True,6,isl,19. Animiste
7,2,188,Distinguo,Andatrú,False,6,isl,21. Distinguo
7,3,188,Distinguo,Andatrú,False,6,isl,21. Distinguo
7,3,179,Hik,Hik,True,6,isl,12. Hésitations
7,3,174,Draumur,Draumur,True,6,isl,7. Rêve
7,3,186,Andatrú,Andatrú,True,6,isl,19. Animiste
7,3,177,Regnboginn,Andatrú,False,6,isl,10. L'arc-en-ciel
7,3,187,Anagramm,Andatrú,False,6,isl,20. Anagrammes
8,1,171,Á líkindamáli,Nákvæmni,False,6,isl,4. Métaphoriquement
8,1,177,Regnboginn,Spádómar,False,6,isl,10. L'arc-en-ciel
8,1,170,Útdráttur,Spádómar,False,6,isl,3. Litotes
8,1,180,Nákvæmni,Nákvæmni,True,6,isl,13. Précisions
8,1,175,Spádómar,Spádómar,True,6,isl,8. Pronostications
8,2,170,Útdráttur,Spádómar,False,6,isl,3. Litotes
8,2,180,Nákvæmni,Nákvæmni,True,6,isl,13. Précisions
8,2,175,Spádómar,Spádómar,True,6,isl,8. Pronostications
8,2,171,Á líkindamáli,Nákvæmni,False,6,isl,4. Métaphoriquement
8,2,177,Regnboginn,Nákvæmni,False,6,isl,10. L'arc-en-ciel
8,3,180,Nákvæmni,Nákvæmni,True,6,isl,13. Précisions
8,3,175,Spádómar,Spádómar,True,6,isl,8. Pronostications
8,3,171,Á líkindamáli,Nákvæmni,False,6,isl,4. Métaphoriquement
8,3,170,Útdráttur,Spádómar,False,6,isl,3. Litotes
