Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,27,Metaphorically,Metaphorically,True,2,eng,4. Métaphoriquement
1,1,44,Distinguo,Distinguo,True,2,eng,21. Distinguo
1,2,44,Distinguo,Distinguo,True,2,eng,21. Distinguo
1,2,27,Metaphorically,Metaphorically,True,2,eng,4. Métaphoriquement
1,3,27,Metaphorically,Metaphorically,True,2,eng,4. Métaphoriquement
1,3,44,Distinguo,Distinguo,True,2,eng,21. Distinguo
2,1,45,Homeoptotes,Homeoptotes,True,2,eng,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,47,Blurb,Blurb,True,2,eng,24. Prière d'insérer
2,2,47,Blurb,Blurb,True,2,eng,24. Prière d'insérer
2,2,45,Homeoptotes,Homeoptotes,True,2,eng,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,47,Blurb,Blurb,True,2,eng,24. Prière d'insérer
2,3,45,Homeoptotes,Homeoptotes,True,2,eng,22. Homéoptotes (1947) / Homéotéleutes (1976)
3,1,40,Word-composition,Word-composition,True,2,eng,17. Composition de mots
3,1,31,Prognostication,Prognostication,True,2,eng,8. Pronostications
3,2,40,Word-composition,Word-composition,True,2,eng,17. Composition de mots
3,2,31,Prognostication,Prognostication,True,2,eng,8. Pronostications
3,3,31,Prognostication,Prognostication,True,2,eng,8. Pronostications
3,3,40,Word-composition,Word-composition,True,2,eng,17. Composition de mots
4,1,37,The subjective side,The subjective side,True,2,eng,14. Le côté subjectif
4,1,31,Prognostication,Prognostication,True,2,eng,8. Pronostications
4,2,31,Prognostication,Prognostication,True,2,eng,8. Pronostications
4,2,37,The subjective side,The subjective side,True,2,eng,14. Le côté subjectif
4,3,37,The subjective side,The subjective side,True,2,eng,14. Le côté subjectif
4,3,31,Prognostication,Prognostication,True,2,eng,8. Pronostications
5,1,28,Retrograde,Retrograde,True,2,eng,5. Rétrograde
5,1,32,Synchysis,Synchysis,True,2,eng,9. Synchyses
5,2,28,Retrograde,Retrograde,True,2,eng,5. Rétrograde
5,2,32,Synchysis,Synchysis,True,2,eng,9. Synchyses
5,3,28,Retrograde,Retrograde,True,2,eng,5. Rétrograde
5,3,32,Synchysis,Synchysis,True,2,eng,9. Synchyses
6,1,32,Synchysis,Synchysis,True,2,eng,9. Synchyses
6,1,43,Anagrams,Synchysis,False,2,eng,20. Anagrammes
6,2,32,Synchysis,Synchysis,True,2,eng,9. Synchyses
6,2,43,Anagrams,Synchysis,False,2,eng,20. Anagrammes
6,3,43,Anagrams,Synchysis,False,2,eng,20. Anagrammes
6,3,32,Synchysis,Synchysis,True,2,eng,9. Synchyses
7,1,33,The rainbow,Distinguo,False,2,eng,10. L'arc-en-ciel
7,1,44,Distinguo,Distinguo,True,2,eng,21. Distinguo
7,2,44,Distinguo,Distinguo,True,2,eng,21. Distinguo
7,2,33,The rainbow,The rainbow,True,2,eng,10. L'arc-en-ciel
7,3,33,The rainbow,The rainbow,True,2,eng,10. L'arc-en-ciel
7,3,44,Distinguo,Distinguo,True,2,eng,21. Distinguo
8,1,31,Prognostication,Prognostication,True,2,eng,8. Pronostications
8,1,33,The rainbow,The rainbow,True,2,eng,10. L'arc-en-ciel
8,2,31,Prognostication,Prognostication,True,2,eng,8. Pronostications
8,2,33,The rainbow,The rainbow,True,2,eng,10. L'arc-en-ciel
8,3,33,The rainbow,The rainbow,True,2,eng,10. L'arc-en-ciel
8,3,31,Prognostication,Prognostication,True,2,eng,8. Pronostications
9,1,35,Hesitation,Hesitation,True,2,eng,12. Hésitations
9,1,29,Surprises,Surprises,True,2,eng,6. Surprises
9,2,35,Hesitation,Hesitation,True,2,eng,12. Hésitations
9,2,29,Surprises,Surprises,True,2,eng,6. Surprises
9,3,29,Surprises,Surprises,True,2,eng,6. Surprises
9,3,35,Hesitation,Hesitation,True,2,eng,12. Hésitations
10,1,44,Distinguo,Anagrams,False,2,eng,21. Distinguo
10,1,43,Anagrams,Anagrams,True,2,eng,20. Anagrammes
