Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,144,Notaciones,Notaciones,True,3,spa,1. Notations
1,1,147,Metafóricamente,Metafóricamente,True,3,spa,4. Métaphoriquement
1,1,164,Distingo,Notaciones,False,3,spa,21. Distinguo
1,2,144,Notaciones,Notaciones,True,3,spa,1. Notations
1,2,164,Distingo,Notaciones,False,3,spa,21. Distinguo
1,2,147,Metafóricamente,Metafóricamente,True,3,spa,4. Métaphoriquement
1,3,144,Notaciones,Notaciones,True,3,spa,1. Notations
1,3,164,Distingo,Notaciones,False,3,spa,21. Distinguo
1,3,147,Metafóricamente,Metafóricamente,True,3,spa,4. Métaphoriquement
2,1,161,Negatividades,Homeoteleutones,False,3,spa,18. Négativités
2,1,165,Homeoteleutones,Homeoteleutones,True,3,spa,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,167,Propaganda editorial,Homeoteleutones,False,3,spa,24. Prière d'insérer
2,2,165,Homeoteleutones,Homeoteleutones,True,3,spa,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,161,Negatividades,Homeoteleutones,False,3,spa,18. Négativités
2,2,167,Propaganda editorial,Homeoteleutones,False,3,spa,24. Prière d'insérer
2,3,161,Negatividades,Homeoteleutones,False,3,spa,18. Négativités
2,3,165,Homeoteleutones,Homeoteleutones,True,3,spa,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,167,Propaganda editorial,Homeoteleutones,False,3,spa,24. Prière d'insérer
3,1,160,Palabras compuestas,Palabras compuestas,True,3,spa,17. Composition de mots
3,1,163,Anagramas,Anagramas,True,3,spa,20. Anagrammes
3,1,151,Pronosticaciones,Pronosticaciones,True,3,spa,8. Pronostications
3,2,163,Anagramas,Anagramas,True,3,spa,20. Anagrammes
3,2,160,Palabras compuestas,Palabras compuestas,True,3,spa,17. Composition de mots
3,2,151,Pronosticaciones,Pronosticaciones,True,3,spa,8. Pronostications
3,3,160,Palabras compuestas,Palabras compuestas,True,3,spa,17. Composition de mots
3,3,163,Anagramas,Anagramas,True,3,spa,20. Anagrammes
3,3,151,Pronosticaciones,Pronosticaciones,True,3,spa,8. Pronostications
4,1,151,Pronosticaciones,Punto de vista subjetivo,False,3,spa,8. Pronostications
4,1,157,Punto de vista subjetivo,Punto de vista subjetivo,True,3,spa,14. Le côté subjectif
4,1,158,Otro punto de vista subjetivo,Punto de vista subjetivo,False,3,spa,15. Autre subjectivité
4,2,158,Otro punto de vista subjetivo,Punto de vista subjetivo,False,3,spa,15. Autre subjectivité
4,2,151,Pronosticaciones,Punto de vista subjetivo,False,3,spa,8. Pronostications
4,2,157,Punto de vista subjetivo,Punto de vista subjetivo,True,3,spa,14. Le côté subjectif
4,3,151,Pronosticaciones,Punto de vista subjetivo,False,3,spa,8. Pronostications
4,3,157,Punto de vista subjetivo,Punto de vista subjetivo,True,3,spa,14. Le côté subjectif
4,3,158,Otro punto de vista subjetivo,Punto de vista subjetivo,False,3,spa,15. Autre subjectivité
5,1,152,Sínquisis,Retrogrado,False,3,spa,9. Synchyses
5,1,150,Sueño,Sueño,True,3,spa,7. Rêve
5,1,148,Retrógrado,Retrogrado,False,3,spa,5. Rétrograde
5,2,152,Sínquisis,Sínquisis,True,3,spa,9. Synchyses
5,2,150,Sueño,Sueño,True,3,spa,7. Rêve
5,2,148,Retrógrado,Retrogrado,False,3,spa,5. Rétrograde
5,3,152,Sínquisis,Retrogrado,False,3,spa,9. Synchyses
5,3,150,Sueño,Sueño,True,3,spa,7. Rêve
5,3,148,Retrógrado,Retrogrado,False,3,spa,5. Rétrograde
6,1,152,Sínquisis,Sínquisis,True,3,spa,9. Synchyses
6,1,163,Anagramas,Anagramas,True,3,spa,20. Anagrammes
6,1,145,Por partida doble,Por partida doble,True,3,spa,2. En partie double
6,2,145,Por partida doble,Por partida doble,True,3,spa,2. En partie double
6,2,152,Sínquisis,Sínquisis,True,3,spa,9. Synchyses
6,2,163,Anagramas,Anagramas,True,3,spa,20. Anagrammes
6,3,163,Anagramas,Anagramas,True,3,spa,20. Anagrammes
6,3,152,Sínquisis,Sínquisis,True,3,spa,9. Synchyses
6,3,145,Por partida doble,Por partida doble,True,3,spa,2. En partie double
7,1,164,Distingo,Anagramas,False,3,spa,21. Distinguo
7,1,153,Arco iris,Distingo,False,3,spa,10. L'arc-en-ciel
7,1,163,Anagramas,Anagramas,True,3,spa,20. Anagrammes
7,2,163,Anagramas,Anagramas,True,3,spa,20. Anagrammes
7,2,164,Distingo,Anagramas,False,3,spa,21. Distinguo
7,2,153,Arco iris,Distingo,False,3,spa,10. L'arc-en-ciel
7,3,163,Anagramas,Anagramas,True,3,spa,20. Anagrammes
7,3,153,Arco iris,Distingo,False,3,spa,10. L'arc-en-ciel
7,3,164,Distingo,Anagramas,False,3,spa,21. Distinguo
8,1,146,Lítotes,Lítotes,True,3,spa,3. Litotes
8,1,151,Pronosticaciones,Pronosticaciones,True,3,spa,8. Pronostications
